Category,Dx Code,Practice Code,PQRI.,Recall,SNOMED CT,Description
" Cornea"," 053.9"," 053.9"," "," "," "," Herpes Zoster NOS"
" Cornea"," 370.00"," 370.00"," "," "," "," Corneal Ulcer NOS"
" Cornea"," 370.60"," 370.60"," "," "," 19161004"," Corneal Neovascularization"
" Cornea"," 371.61"," 371.61"," "," "," "," Keratoconus, Stable"
" Cornea"," 370.62"," 370.62"," "," "," 35666006"," Corneal Pannus"
" Cornea"," 996.79"," 996.79"," "," "," "," Corneal transplant"
" Cornea"," 371.42"," 371.42"," "," "," "," Recurrent corneal erosion"
" Cornea"," 371.41"," 371.41"," "," "," 111522004"," Arcus Senilis"
" Cornea"," 371.43"," 371.43"," "," "," "," Band keratopathy"
" Cornea"," 371.02"," 371.02"," "," "," "," Corneal Scar, Peripheral"
" Cornea"," 370.34"," 370.34"," "," "," 14366000"," Exposure Keratoconjunctivitis"
" Cornea"," 370.01"," 370.01"," "," "," 95730003"," Marginal keratitis"
" Cornea"," 371.41"," 371.41"," "," "," "," Arcus"
" Cornea"," 371.20"," 371.20"," "," "," 27194006"," Corneal Edema"
" Cornea"," 370.03"," 370.03"," "," "," "," Corneal Ulcer, Central"
" Cornea"," 370.01"," 370.01"," "," "," "," Corneal Ulcer, Peripheral"
" Cornea"," 371.52"," 371.52"," "," "," "," EBMD Corneal Dystrophy"
" Cornea"," 371.23"," 371.23"," "," "," 57207003"," Bullous Keratopathy"
" Cornea"," 371.42"," 371.42"," "," "," "," Corneal Erosion, Recurrent"
" Cornea"," 054.43"," 054.43"," "," "," 59523007"," Herpes Simplex Disciform Keratitis"
" Cornea"," 054.42"," 054.42"," "," "," 29943008"," Herpes Simplex Dendritic Keratitis"
" Cornea"," 053.21"," 053.21"," "," "," 42448002"," Herpes Zoster Keratoconjunctivitis"
" Cornea"," 371.62"," 371.62"," "," "," "," Keratoconus, Acute Hydrops"
" Cornea"," 371.13"," 371.13"," "," "," "," Krukenberg Spindle"
" Cornea"," 370.02"," 370.02"," "," "," "," Corneal Ulcer, Ring Shaped"
" Cornea"," 370.62"," 370.62"," "," "," 35666006"," Corneal Pannus"
" Cornea"," 370.62"," 370.62"," "," "," "," Pannus, Corneal"
" Cornea"," 370.61"," 370.61"," "," "," 19161004"," Corneal Neovascularization"
" Cornea"," 371.71"," 371.71"," "," "," 14748007"," Corneal Ectasia"
" Cornea"," 371.00"," 371.00"," "," "," "," Corneal Scar, Unspecified "
" Cornea"," 371.57"," 371.57"," "," "," "," Fuchs Dystrophy"
" Cornea"," 370.21"," 370.21"," "," "," "," Keratitis, superficial"
" Cornea"," 370.33"," 370.33"," "," "," "," Keratitis Sicca"
" Cornea"," 370.34"," 370.34"," "," "," "," Keratitis, desiccation"
" Cornea"," 370.34"," 370.34"," "," "," "," Keratitits, exposure"
" Cornea"," 370.21"," 370.21"," "," "," "," Keratitis, punctata"
" Cornea"," 370.20"," 370.20"," "," "," "," Keratitis, superficial"
" cosmetic"," V50.1"," V50.1"," "," "," "," full cosmetic facelift"
" cosmetic"," 872.0"," 872.0"," "," "," "," Laceration of the Earlobe, Uncomplicated"
" cosmetic"," 701.8"," 701.8"," "," "," "," skin wrinkles"
" Eye Lids"," 373.32"," 373.32"," "," "," "," Allergic Dermatitis"
" Eye Lids"," 216.1"," 216.1"," "," "," "," Benign Lid Lesion"
" Eye Lids"," 373.2"," 373.2"," "," "," 1482004"," Chalazion"
" Eye Lids"," 373.00"," 373.00"," "," "," 41446000"," Blepharitis"
" Eye Lids"," 374.87"," 374.87"," "," "," "," Dermatochalasis"
" Eye Lids"," 374.10"," 374.10"," "," "," 62909004"," Ectropion"
" Eye Lids"," 374.00"," 374.00"," "," "," 33168009"," Entropion"
" Eye Lids"," 373.11"," 373.11"," "," "," "," Hordeolum"
" Eye Lids"," 374.30"," 374.30"," "," "," "," Ptosis"
" Eye Lids"," 375.52"," 375.52"," "," "," "," Punctal Stenosis"
" Eye Lids"," 375.51"," 375.51"," "," "," "," Punctal Ectropion"
" Eye Lids"," 374.05"," 374.05"," "," "," "," Trichiasis"
" Eye Lids"," 172.1"," 172.1"," "," "," "," Basal Cell Carcinoma/Eyelid"
" Eye Lids"," 173.1"," 173.1"," "," "," "," Basal Cell Carcinoma"
" Eye Lids"," 333.81"," 333.81"," "," "," 59026006"," Blepharospasm"
" Eye Lids"," 930.2"," 930.2"," "," "," "," FB in Lacrimal Puncta"
" Eye Lids"," 870.1"," 870.1"," "," "," "," Laceration of eyelid, full thickness,not involving lacrimal passages"
" Eye Lids"," 373.13"," 373.13"," "," "," "," Preseptal cellulitis"
" Eye Lids"," 873.50"," 873.50"," "," "," "," Complicated facial wound"
" Eye Lids"," 238.2"," 238.2"," "," "," "," Neoplasm of uncertain behavior-skin"
" Eye Lids"," 728.11"," 728.11"," "," "," "," Fibrous Dysplasia"
" Eye Lids"," 374.55"," 374.55"," "," "," "," Hypotrichosis of the eyelid"
" Eye Lids"," 702.0"," 702.0"," "," "," 201101007"," Actinic keratosis"
" Eye Lids"," 870.0"," 870.0"," "," "," 14997005"," Laceration of skin of eyelid and periocular area"
" Eye Lids"," 921.1"," 921.1"," "," "," "," Contusion of eyelids and periocular area"
" Eye Lids"," 239.8"," 239.8"," "," "," "," Orbital tumor unspecified"
" Eye Lids"," 374.81"," 374.81"," "," "," "," Eyelid hemorrhage"
" Eye Lids"," 374.20"," 374.20"," "," "," 60735000"," Lagophthalmos"
" Eye Lids"," 370.21"," 370.21"," "," "," 42513006"," Punctate keratitis"
" Eye Lids"," 374.86"," 374.86"," "," "," "," Retained foreign body"
" Eye Lids"," 701.9"," 701.9"," "," "," 201091002"," Skin tag"
" Eye Lids"," 375.31"," 375.31"," "," "," "," Canaliculitis"
" Eye Lids"," 375.56"," 375.56"," "," "," "," nasal lacrimal duct obstruction"
" Eye Lids"," 333.81"," 333.81"," "," "," 59026006"," Blepharospasm"
" Eye Lids"," 373.13"," 373.13"," "," "," 231796003"," Cellulitis of Eyelid"
" Eye Lids"," 921.0"," 921.0"," "," "," "," Contusion of Eye/Adnexa"
" Eye Lids"," 374.84"," 374.84"," "," "," "," Eyelid Cyst"
" Eye Lids"," 373.32"," 373.32"," "," "," 68670009"," Contact Dermatitis of Eyelid"
" Eye Lids"," 054.41"," 054.41"," "," "," "," Herpes Simples of Eyelid"
" Eye Lids"," 053.20"," 053.20"," "," "," "," Herpes Zoster w/ Ocular Involvement"
" Eye Lids"," 374.05"," 374.05"," "," "," "," Trichiasis, Eyelid"
" Eye Lids"," 374.51"," 374.51"," "," "," "," Xanthelasma"
" Eye Lids"," 743.65"," 743.65"," "," "," "," Nasolacrimal Duct Obstruction, Congenital"
" Eye Lids"," 375.55"," 375.55"," "," "," "," Nasolacrimal Duct Obstruction, Acquired"
" Eye Lids"," 374.33"," 374.33"," "," "," "," Ptosis, mechanical"
" Eye Lids"," 686.1"," 686.1"," "," "," "," Pyogenic granuloma - inflammatory"
" Eye Lids"," 374.04"," 374.04"," "," "," "," Entropian cicatricial"
" Eye Lids"," 374.12"," 374.12"," "," "," "," Ectropian mechanical floppy lid"
" Eye Lids"," 374.01"," 374.01"," "," "," "," Entropian, Senile"
" Eye Lids"," 374.32"," 374.32"," "," "," "," Ptosis, myogenic"
" Eye Lids"," 374.41"," 374.41"," "," "," "," Lid retraction or lag "
" Eye Lids"," 374.11"," 374.11"," "," "," "," Ectropian, Involutional"
" Eye Lids"," 374.14"," 374.14"," "," "," "," Ectropion, cicatricial  "
" Eye Lids"," 374.31"," 374.31"," "," "," "," Ptosis, paralytic"
" Eye Lids"," 743.63"," 743.63"," "," "," "," Prominent Epicanthal Folds"
" Eye Lids"," 238.1"," 238.1"," "," "," "," Eyelid Neoplasm of uncertain behavior-skin"
" Eye Lids"," 373.8"," 373.8"," "," "," "," Eyelid Inflammation, Other"
" Eye Lids"," 374.82"," 374.82"," "," "," "," Eyelid Edema"
" Glaucoma"," 365.23"," 365.23"," "," "," "," Glaucoma, Chronic Angle Closure"
" Glaucoma"," 365.02"," 365.02"," "," "," "," Glaucoma Suspect, Narrow Angle"
" Glaucoma"," 365.00"," 365.00"," "," "," 232079008"," Glaucoma Suspect"
" Glaucoma"," 365.12"," 365.12"," 2027F"," "," "," Glaucoma, Low Tension"
" Glaucoma"," 365.04"," 365.04"," "," "," 4210003"," Ocular Hypertension"
" Glaucoma"," 365.10"," 365.10"," 2027F"," "," "," Open Angle Glaucoma"
" Glaucoma"," 365.13"," 365.13"," "," "," "," Glaucoma, Pigmentary"
" Glaucoma"," 365.52"," 365.52"," "," "," "," Glaucoma, Pseudoexfoliative"
" Glaucoma"," 365.22"," 365.22"," "," "," "," Glaucoma, Acute Angle Closure"
" Glaucoma"," 365.63"," 365.63"," "," "," "," Glaucoma, Neovascular"
" Glaucoma"," 365.03"," 365.03"," "," "," "," Steroid Responders"
" Glaucoma"," 365.11"," 365.11"," 2027F"," "," "," Glaucoma, Primary Open Angle"
" Glaucoma"," 365.01"," 365.01"," "," "," "," Glaucoma Suspect, borderline IOP or C/D ratio"
" Glaucoma"," 365.31"," 365.31"," "," "," "," Glaucoma, Steroid Induced"
" Glaucoma"," 365.62"," 365.62"," "," "," "," GLAUCOMA W OCULAR INFLAM"
" Glaucoma"," 365.05"," 365.05"," "," "," "," Open angle with borderline findings, high risk."
" Glaucoma"," 365.06"," 365.06"," "," "," "," Primary angle closure without glaucoma damage "
" Glaucoma"," 365.70"," 365.70"," "," "," "," Glaucoma stage, unspecified"
" Glaucoma"," 365.71"," 365.71"," "," "," "," Mild stage glaucoma"
" Glaucoma"," 365.72"," 365.72"," "," "," "," Moderate stage glaucoma"
" Glaucoma"," 365.73"," 365.73"," "," "," "," Advanced stage glaucoma"
" Glaucoma"," 365.74"," 365.74"," "," "," "," Indeterminate stage glaucoma"
" Glaucoma"," 364.22"," 364.22"," "," "," "," Glaucomatocyclitic Crises "
" Muscle/Movements"," 378.01"," 378.01"," "," "," "," Esotropia, Monocular"
" Muscle/Movements"," 378.05"," 378.05"," "," "," "," Esotropia, Constant Alternating"
" Muscle/Movements"," 378.61"," 378.61"," "," "," "," Brown's Syndrome"
" Muscle/Movements"," 378.83"," 378.83"," "," "," 194131002"," Convergence Insufficiency"
" Muscle/Movements"," 378.71"," 378.71"," "," "," 60318001"," Duane's Syndrome"
" Muscle/Movements"," 378.87"," 378.87"," "," "," "," DVD"
" Muscle/Movements"," 378.41"," 378.41"," "," "," 62176008"," Esophoria"
" Muscle/Movements"," 379.52"," 379.52"," "," "," "," Nystagmus, Latent"
" Muscle/Movements"," 379.53"," 379.53"," "," "," "," Nystagmus, Visual Deprivation"
" Neuro"," 379.14"," 379.14"," "," "," 13045009"," Anisocoria"
" Neuro"," 378.54"," 378.54"," "," "," "," Sixth Nerve Palsy"
" Neuro"," 379.41"," 379.41"," "," "," 13045009"," Anisocoria"
" Neuro"," 378.53"," 378.53"," "," "," 20610004"," Fourth Nerve Palsy"
" Neuro"," 351.0"," 351.0"," "," "," 193093009"," Bell's Palsy"
" Neuro"," 378.51"," 378.51"," "," "," "," Third Nerve Palsy, Partial"
" Neuro"," 378.52"," 378.52"," "," "," "," Third Nerve Palsy, Total"
" Neuro"," 377.14"," 377.14"," "," "," "," Cupping of Optic Nerve"
" Neuro"," 784.0"," 784.0"," "," "," "," Headaches"
" Neuro"," 346.80"," 346.80"," "," "," "," Ocular Migraine NEC/Not Intractable"
" Neuro"," 346.90"," 346.90"," "," "," "," Headache Migraine"
" Neuro"," 377.41"," 377.41"," "," "," 14357004"," Ischemic Optic Neuropathy"
" Neuro"," 377.10"," 377.10"," "," "," 76976005"," Optic Atrophy"
" Neuro"," 377.31"," 377.31"," "," "," "," Optic Neuritis, Acute"
" Neuro"," 377.00"," 377.00"," "," "," "," Papilledema NOS"
" Neuro"," 368.40"," 368.40"," "," "," 12184005"," Visual Field Defect"
" Neuro"," 378.83"," 378.83"," "," "," 194131002"," Convergence Insufficiency"
" Neuro"," 348.2"," 348.2"," "," "," "," Pseudotumor Cerebri"
" Neuro"," 377.21"," 377.21"," "," "," "," Drusen/Optic Disc/Nerve Head"
" Neuro"," 227.3"," 227.3"," "," "," 254956000"," Pituitary Adenoma"
" Neuro"," 225.2"," 225.2"," "," "," "," Meningioma"
" Neuro"," 379.50"," 379.50"," "," "," 563001"," Nystagmus"
" Neuro"," 340"," 340"," "," "," 24700007"," Multiple Sclerosis"
" Neuro"," 377.24"," 377.24"," "," "," "," Pseudopapilledma"
" Neuro"," 434.91"," 434.91"," "," "," "," Cerebral Vascular Accident"
" Neuro"," 780.4"," 780.4"," "," "," 399153001"," Vertigo"
" Neuro"," 850.9"," 850.9"," "," "," "," Concussion, unspecified"
" Neuro"," 379.46"," 379.46"," "," "," "," Adies pupil"
" Neuro"," 435.9"," 435.9"," "," "," "," Transcient Ischemia Attack"
" Neuro"," 377.75"," 377.75"," "," "," 68574006"," Cortical blindness"
" Neuro"," 368.10"," 368.10"," "," "," "," Visual Disturbance/Visual Aura"
" Neuro"," 367.51"," 367.51"," "," "," "," Accommodative Dysfunction"
" Neuro"," 378.35"," 378.35"," "," "," 419494007"," Accommodative Esotropia"
" Neuro"," 377.31"," 377.31"," "," "," "," Papillitis"
" Neuro"," 377.01"," 377.01"," "," "," "," Papilledema, with Increased Intracranial Pressure"
" Neuro"," 378.15"," 378.15"," "," "," "," Exotropia, Constant Alternating"
" Neuro"," 379.51"," 379.51"," "," "," "," Nystagmus, Congenital"
