Primary Table Name,Primary Column Name,Foreign Key Table,Foreign Key Column,Is Comma Separated,Priority Order
,,preophealthquestionnaire,signWitness1Id,,
,,preopnursingrecord,nurseId,,
,,preopnursingrecord,relivedNurseId,,
,,preopnursingrecord,signNurseId,,
,,preopnursingrecord,signSurgeon1Id,,
,,preopphysicianorders,surgeonId,,
,,preopphysicianorders,anesthesiologistId,,
,,preopphysicianorders,signSurgeon1Id,,
,,preopphysicianorders,signNurseId,,
,,preopphysicianorders,signNurse1Id,,
,,preopphysicianorders,relivednurse,,
,,scan_documents_user,user_id,,
,,scan_documents_user,operator_id,,
,,scan_upload_tbl_user,user_id,,
,,scan_upload_tbl_user,operator_id,,
,,stub_tbl,comment_modified_by_operator,,
,,stub_tbl,comment_status_reset_by_operator,,
,,superbill_tbl,modified_by,,
,,surgical_check_list,user_id,,
,,surgical_check_list,signNurse1Id,,
,,surgical_check_list,signNurse2Id,,
,,surgical_check_list,signNurse3Id,,
,,surgical_check_list,signNurse4Id,,
,,surgical_check_list,reliefNurse1,,
,,surgical_check_list,reliefNurse2,,
,,surgical_check_list,reliefNurse3,,
,,surgical_check_list,reliefNurse4,,
,,tblprogress_report,usersId,,
,,transfer_followups,signNurseId,,
,,transfer_followups,signSurgeon1Id,,
,,transfer_followups,signNurse1Id,,
,,vision_success,surgeonId,,
