Type,Code,Description,Injury,Injury Dx
D,V0112XS,"Ped on sktbrd injured in clsn w pedl cyc in traf, sequela   ",C, 
D,V0119XD,"Ped w convey injured in collision w pedl cyc in traf, subs  ",C, 
D,V0119XS,"Ped w convey injured in clsn w pedl cyc in traf, sequela    ",C, 
D,V0190XD,"Ped on foot injured in collision w pedl cyc, unsp, subs     ",C, 
D,V0190XS,"Ped on foot injured in collision w pedl cyc, unsp, sequela  ",C, 
D,V0191XD,"Ped on rolr-skt injured in collision w pedl cyc, unsp, subs ",C, 
D,V0191XS,"Ped on rolr-skt injured in clsn w pedl cyc, unsp, sequela   ",C, 
D,V0192XD,"Ped on sktbrd injured in collision w pedl cyc, unsp, subs   ",C, 
D,V0192XS,"Ped on sktbrd injured in collision w pedl cyc, unsp, sequela",C, 
D,V0199XD,"Ped w convey injured in collision w pedl cyc, unsp, subs    ",C, 
D,V0199XS,"Ped w convey injured in collision w pedl cyc, unsp, sequela ",C, 
D,V0200XD,"Ped on foot injured in collision w 2/3-whl mv nontraf, subs ",C, 
D,V0200XS,"Ped on foot injured in clsn w 2/3-whl mv nontraf, sequela   ",C, 
D,V0201XD,"Ped on rolr-skt injured in clsn w 2/3-whl mv nontraf, subs  ",C, 
D,V0201XS,"Ped on rolr-skt inj in clsn w 2/3-whl mv nontraf, sequela   ",C, 
D,V0202XD,"Ped on sktbrd injured in clsn w 2/3-whl mv nontraf, subs    ",C, 
D,V0202XS,"Ped on sktbrd injured in clsn w 2/3-whl mv nontraf, sequela ",C, 
D,V0209XD,"Ped w convey injured in collision w 2/3-whl mv nontraf, subs",C, 
D,V0209XS,"Ped w convey injured in clsn w 2/3-whl mv nontraf, sequela  ",C, 
D,V0210XD,"Ped on foot injured in collision w 2/3-whl mv in traf, subs ",C, 
D,V0210XS,"Ped on foot injured in clsn w 2/3-whl mv in traf, sequela   ",C, 
D,V0211XD,"Ped on rolr-skt injured in clsn w 2/3-whl mv in traf, subs  ",C, 
D,V0211XS,"Ped on rolr-skt inj in clsn w 2/3-whl mv in traf, sequela   ",C, 
D,V0212XD,"Ped on sktbrd injured in clsn w 2/3-whl mv in traf, subs    ",C, 
D,V0212XS,"Ped on sktbrd injured in clsn w 2/3-whl mv in traf, sequela ",C, 
D,V0219XD,"Ped w convey injured in collision w 2/3-whl mv in traf, subs",C, 
D,V0219XS,"Ped w convey injured in clsn w 2/3-whl mv in traf, sequela  ",C, 
D,V0290XD,"Ped on foot injured in collision w 2/3-whl mv, unsp, subs   ",C, 
D,V0290XS,"Ped on foot injured in collision w 2/3-whl mv, unsp, sequela",C, 
D,V0291XD,"Ped on rolr-skt injured in clsn w 2/3-whl mv, unsp, subs    ",C, 
D,V0291XS,"Ped on rolr-skt injured in clsn w 2/3-whl mv, unsp, sequela ",C, 
D,V0292XD,"Ped on sktbrd injured in collision w 2/3-whl mv, unsp, subs ",C, 
D,V0292XS,"Ped on sktbrd injured in clsn w 2/3-whl mv, unsp, sequela   ",C, 
D,V0299XD,"Ped w convey injured in collision w 2/3-whl mv, unsp, subs  ",C, 
D,V0299XS,"Ped w convey injured in clsn w 2/3-whl mv, unsp, sequela    ",C, 
D,V0300XD,"Ped on foot injured pick-up truck, pk-up/van nontraf, subs  ",C, 
D,V0300XS,"Ped on foot inj pick-up truck, pk-up/van nontraf, sequela   ",C, 
D,V0301XD,"Ped on rolr-skt inj pick-up truck, pk-up/van nontraf, subs  ",C, 
D,V0301XS,"Ped on rolr-skt inj pk-up truck, pk-up/van nontraf, sequela ",C, 
D,V0302XD,"Ped on sktbrd injured pick-up truck, pk-up/van nontraf, subs",C, 
D,V0302XS,"Ped on sktbrd inj pick-up truck, pk-up/van nontraf, sequela ",C, 
D,V0309XD,"Ped w convey injured pick-up truck, pk-up/van nontraf, subs ",C, 
D,V0309XS,"Ped w convey inj pick-up truck, pk-up/van nontraf, sequela  ",C, 
D,V0310XD,"Ped on foot injured pick-up truck, pk-up/van in traf, subs  ",C, 
D,V0310XS,"Ped on foot inj pick-up truck, pk-up/van in traf, sequela   ",C, 
D,V0311XD,"Ped on rolr-skt inj pick-up truck, pk-up/van in traf, subs  ",C, 
D,V0311XS,"Ped on rolr-skt inj pk-up truck, pk-up/van in traf, sequela ",C, 
D,V0312XD,"Ped on sktbrd injured pick-up truck, pk-up/van in traf, subs",C, 
D,V0312XS,"Ped on sktbrd inj pick-up truck, pk-up/van in traf, sequela ",C, 
D,V0319XD,"Ped w convey injured pick-up truck, pk-up/van in traf, subs ",C, 
D,V0319XS,"Ped w convey inj pick-up truck, pk-up/van in traf, sequela  ",C, 
D,V0390XD,"Ped on foot injured pick-up truck, pk-up/van, unsp, subs    ",C, 
D,V0390XS,"Ped on foot injured pick-up truck, pk-up/van, unsp, sequela ",C, 
D,V0391XD,"Ped on rolr-skt injured pick-up truck, pk-up/van, unsp, subs",C, 
D,V0391XS,"Ped on rolr-skt inj pick-up truck, pk-up/van, unsp, sequela ",C, 
D,V0392XD,"Ped on sktbrd injured pick-up truck, pk-up/van, unsp, subs  ",C, 
D,V0392XS,"Ped on sktbrd inj pick-up truck, pk-up/van, unsp, sequela   ",C, 
D,V0399XD,"Ped w convey injured pick-up truck, pk-up/van, unsp, subs   ",C, 
D,V0399XS,"Ped w convey injured pick-up truck, pk-up/van, unsp, sequela",C, 
D,V0400XD,"Ped on foot injured in collision w hv veh nontraf, subs     ",C, 
D,V0400XS,"Ped on foot injured in collision w hv veh nontraf, sequela  ",C, 
D,V0401XD,"Ped on rolr-skt injured in collision w hv veh nontraf, subs ",C, 
D,V0401XS,"Ped on rolr-skt injured in clsn w hv veh nontraf, sequela   ",C, 
D,V0402XD,"Ped on sktbrd injured in collision w hv veh nontraf, subs   ",C, 
D,V0402XS,"Ped on sktbrd injured in collision w hv veh nontraf, sequela",C, 
D,V0409XD,"Ped w convey injured in collision w hv veh nontraf, subs    ",C, 
D,V0409XS,"Ped w convey injured in collision w hv veh nontraf, sequela ",C, 
D,V0410XD,"Ped on foot injured in collision w hv veh in traf, subs     ",C, 
D,V0410XS,"Ped on foot injured in collision w hv veh in traf, sequela  ",C, 
D,V0411XD,"Ped on rolr-skt injured in collision w hv veh in traf, subs ",C, 
D,V0411XS,"Ped on rolr-skt injured in clsn w hv veh in traf, sequela   ",C, 
D,V0412XD,"Ped on sktbrd injured in collision w hv veh in traf, subs   ",C, 
D,V0412XS,"Ped on sktbrd injured in collision w hv veh in traf, sequela",C, 
D,V0419XD,"Ped w convey injured in collision w hv veh in traf, subs    ",C, 
D,V0419XS,"Ped w convey injured in collision w hv veh in traf, sequela ",C, 
D,V0490XD,"Pedestrian on foot injured in collision w hv veh, unsp, subs",C, 
D,V0490XS,"Ped on foot injured in collision w hv veh, unsp, sequela    ",C, 
D,V0491XD,"Ped on rolr-skt injured in collision w hv veh, unsp, subs   ",C, 
D,V0491XS,"Ped on rolr-skt injured in collision w hv veh, unsp, sequela",C, 
D,V0492XD,"Ped on skateboard injured in collision w hv veh, unsp, subs ",C, 
D,V0492XS,"Ped on sktbrd injured in collision w hv veh, unsp, sequela  ",C, 
D,V0499XD,"Ped w convey injured in collision w hv veh, unsp, subs      ",C, 
D,V0499XS,"Ped w convey injured in collision w hv veh, unsp, sequela   ",C, 
D,V0500XD,"Ped on foot injured in clsn w rail trn/veh nontraf, subs    ",C, 
D,V0500XS,"Ped on foot injured in clsn w rail trn/veh nontraf, sequela ",C, 
D,V0501XD,"Ped on rolr-skt injured in clsn w rail trn/veh nontraf, subs",C, 
D,V0501XS,"Ped on rolr-skt inj in clsn w rail trn/veh nontraf, sequela ",C, 
D,V0502XD,"Ped on sktbrd injured in clsn w rail trn/veh nontraf, subs  ",C, 
D,V0502XS,"Ped on sktbrd inj in clsn w rail trn/veh nontraf, sequela   ",C, 
D,V0509XD,"Ped w convey injured in clsn w rail trn/veh nontraf, subs   ",C, 
D,V0509XS,"Ped w convey injured in clsn w rail trn/veh nontraf, sequela",C, 
D,V0510XD,"Ped on foot injured in clsn w rail trn/veh in traf, subs    ",C, 
D,V0510XS,"Ped on foot injured in clsn w rail trn/veh in traf, sequela ",C, 
D,V0511XD,"Ped on rolr-skt injured in clsn w rail trn/veh in traf, subs",C, 
D,V0511XS,"Ped on rolr-skt inj in clsn w rail trn/veh in traf, sequela ",C, 
D,V0512XD,"Ped on sktbrd injured in clsn w rail trn/veh in traf, subs  ",C, 
D,V0512XS,"Ped on sktbrd inj in clsn w rail trn/veh in traf, sequela   ",C, 
D,V0519XD,"Ped w convey injured in clsn w rail trn/veh in traf, subs   ",C, 
D,V0519XS,"Ped w convey injured in clsn w rail trn/veh in traf, sequela",C, 
D,V0590XD,"Ped on foot injured in collision w rail trn/veh, unsp, subs ",C, 
D,V0590XS,"Ped on foot injured in clsn w rail trn/veh, unsp, sequela   ",C, 
D,V0591XD,"Ped on rolr-skt injured in clsn w rail trn/veh, unsp, subs  ",C, 
D,V0591XS,"Ped on rolr-skt inj in clsn w rail trn/veh, unsp, sequela   ",C, 
D,V0592XD,"Ped on sktbrd injured in clsn w rail trn/veh, unsp, subs    ",C, 
D,V0592XS,"Ped on sktbrd injured in clsn w rail trn/veh, unsp, sequela ",C, 
D,V0599XD,"Ped w convey injured in collision w rail trn/veh, unsp, subs",C, 
D,V0599XS,"Ped w convey injured in clsn w rail trn/veh, unsp, sequela  ",C, 
D,V0600XD,"Ped on foot injured in clsn w nonmtr vehicle nontraf, subs  ",C, 
D,V0600XS,"Ped on foot inj in clsn w nonmtr vehicle nontraf, sequela   ",C, 
D,V0601XD,"Ped on rolr-skt inj in clsn w nonmtr vehicle nontraf, subs  ",C, 
D,V0601XS,"Ped on rolr-skt inj in clsn w nonmtr vehicle nontraf, sqla  ",C, 
D,V0602XD,"Ped on sktbrd injured in clsn w nonmtr vehicle nontraf, subs",C, 
D,V0602XS,"Ped on sktbrd inj in clsn w nonmtr vehicle nontraf, sequela ",C, 
D,V0609XD,"Ped w convey injured in clsn w nonmtr vehicle nontraf, subs ",C, 
D,V0609XS,"Ped w convey inj in clsn w nonmtr vehicle nontraf, sequela  ",C, 
D,V0610XD,"Ped on foot injured in clsn w nonmtr vehicle in traf, subs  ",C, 
D,V0610XS,"Ped on foot inj in clsn w nonmtr vehicle in traf, sequela   ",C, 
D,V0611XD,"Ped on rolr-skt inj in clsn w nonmtr vehicle in traf, subs  ",C, 
D,V0611XS,"Ped on rolr-skt inj in clsn w nonmtr vehicle in traf, sqla  ",C, 
D,V0612XD,"Ped on sktbrd injured in clsn w nonmtr vehicle in traf, subs",C, 
D,V0612XS,"Ped on sktbrd inj in clsn w nonmtr vehicle in traf, sequela ",C, 
D,V0619XD,"Ped w convey injured in clsn w nonmtr vehicle in traf, subs ",C, 
D,V0619XS,"Ped w convey inj in clsn w nonmtr vehicle in traf, sequela  ",C, 
D,V0690XD,"Ped on foot injured in clsn w nonmtr vehicle, unsp, subs    ",C, 
D,V0690XS,"Ped on foot injured in clsn w nonmtr vehicle, unsp, sequela ",C, 
D,V0691XD,"Ped on rolr-skt injured in clsn w nonmtr vehicle, unsp, subs",C, 
D,V0691XS,"Ped on rolr-skt inj in clsn w nonmtr vehicle, unsp, sequela ",C, 
D,V0692XD,"Ped on sktbrd injured in clsn w nonmtr vehicle, unsp, subs  ",C, 
D,V0692XS,"Ped on sktbrd inj in clsn w nonmtr vehicle, unsp, sequela   ",C, 
D,V0699XD,"Ped w convey injured in clsn w nonmtr vehicle, unsp, subs   ",C, 
D,V0699XS,"Ped w convey injured in clsn w nonmtr vehicle, unsp, sequela",C, 
D,V0900XD,"Pedestrian injured nontraf involving unsp mv, subs          ",C, 
D,V0900XS,"Pedestrian injured nontraf involving unsp mv, sequela       ",C, 
D,V0901XD,"Pedestrian injured nontraf involving military vehicle, subs ",C, 
D,V0901XS,"Ped injured nontraf involving military vehicle, sequela     ",C, 
D,V0909XD,"Pedestrian injured nontraf involving oth mv, subs           ",C, 
D,V0909XS,"Pedestrian injured nontraf involving oth mv, sequela        ",C, 
D,V091XXD,"Pedestrian injured in unsp nontraffic accident, subs encntr ",C, 
D,V091XXS,"Pedestrian injured in unsp nontraffic accident, sequela     ",C, 
D,V0920XD,"Pedestrian injured in traf involving unsp mv, subs          ",C, 
D,V0920XS,"Pedestrian injured in traf involving unsp mv, sequela       ",C, 
D,V0921XD,"Pedestrian injured in traf involving military vehicle, subs ",C, 
D,V0921XS,"Ped injured in traf involving military vehicle, sequela     ",C, 
D,V0929XD,"Pedestrian injured in traf involving oth mv, subs           ",C, 
D,V0929XS,"Pedestrian injured in traf involving oth mv, sequela        ",C, 
D,V093XXD,"Pedestrian injured in unsp traffic accident, subs encntr    ",C, 
D,V093XXS,"Pedestrian injured in unspecified traffic accident, sequela ",C, 
D,V099XXD,"Pedestrian injured in unsp transport accident, subs encntr  ",C, 
D,V099XXS,"Pedestrian injured in unsp transport accident, sequela      ",C, 
D,V100XXD,"Pedl cyc driver injured in clsn w ped/anml nontraf, subs    ",C, 
D,V100XXS,"Pedl cyc driver injured in clsn w ped/anml nontraf, sequela ",C, 
D,V101XXD,"Pedl cyc passenger injured in clsn w ped/anml nontraf, subs ",C, 
D,V101XXS,"Pedl cyc pasngr injured in clsn w ped/anml nontraf, sequela ",C, 
D,V102XXD,"Unsp pedl cyclst injured in clsn w ped/anml nontraf, subs   ",C, 
D,V102XXS,"Unsp pedl cyclst injured in clsn w ped/anml nontraf, sequela",C, 
D,V103XXD,"Prsn brd/alit pedl cyc injured in collision w ped/anml, subs",C, 
D,V103XXS,"Prsn brd/alit pedl cyc injured in clsn w ped/anml, sequela  ",C, 
D,V104XXD,"Pedl cyc driver injured in clsn w ped/anml in traf, subs    ",C, 
D,V104XXS,"Pedl cyc driver injured in clsn w ped/anml in traf, sequela ",C, 
D,V105XXD,"Pedl cyc passenger injured in clsn w ped/anml in traf, subs ",C, 
D,V105XXS,"Pedl cyc pasngr injured in clsn w ped/anml in traf, sequela ",C, 
D,V109XXD,"Unsp pedl cyclst injured in clsn w ped/anml in traf, subs   ",C, 
D,V109XXS,"Unsp pedl cyclst injured in clsn w ped/anml in traf, sequela",C, 
D,V110XXD,"Pedl cyc driver injured in clsn w oth pedl cyc nontraf, subs",C, 
D,V110XXS,"Pedl cyc driver inj in clsn w oth pedl cyc nontraf, sequela ",C, 
D,V111XXD,"Pedl cyc pasngr injured in clsn w oth pedl cyc nontraf, subs",C, 
D,V111XXS,"Pedl cyc pasngr inj in clsn w oth pedl cyc nontraf, sequela ",C, 
D,V112XXD,"Unsp pedl cyclst inj in clsn w oth pedl cyc nontraf, subs   ",C, 
D,V112XXS,"Unsp pedl cyclst inj in clsn w oth pedl cyc nontraf, sequela",C, 
D,V113XXD,"Prsn brd/alit pedl cyc injured in clsn w oth pedl cyc, subs ",C, 
D,V113XXS,"Prsn brd/alit pedl cyc inj in clsn w oth pedl cyc, sequela  ",C, 
D,V114XXD,"Pedl cyc driver injured in clsn w oth pedl cyc in traf, subs",C, 
D,V114XXS,"Pedl cyc driver inj in clsn w oth pedl cyc in traf, sequela ",C, 
D,V115XXD,"Pedl cyc pasngr injured in clsn w oth pedl cyc in traf, subs",C, 
D,V115XXS,"Pedl cyc pasngr inj in clsn w oth pedl cyc in traf, sequela ",C, 
D,V119XXD,"Unsp pedl cyclst inj in clsn w oth pedl cyc in traf, subs   ",C, 
D,V119XXS,"Unsp pedl cyclst inj in clsn w oth pedl cyc in traf, sequela",C, 
D,V120XXD,"Pedl cyc driver injured in clsn w 2/3-whl mv nontraf, subs  ",C, 
D,V120XXS,"Pedl cyc driver inj in clsn w 2/3-whl mv nontraf, sequela   ",C, 
D,V121XXD,"Pedl cyc pasngr injured in clsn w 2/3-whl mv nontraf, subs  ",C, 
D,V121XXS,"Pedl cyc pasngr inj in clsn w 2/3-whl mv nontraf, sequela   ",C, 
D,V122XXD,"Unsp pedl cyclst injured in clsn w 2/3-whl mv nontraf, subs ",C, 
D,V122XXS,"Unsp pedl cyclst inj in clsn w 2/3-whl mv nontraf, sequela  ",C, 
D,V123XXD,"Prsn brd/alit pedl cyc injured in clsn w 2/3-whl mv, subs   ",C, 
D,V123XXS,"Prsn brd/alit pedl cyc injured in clsn w 2/3-whl mv, sequela",C, 
D,V124XXD,"Pedl cyc driver injured in clsn w 2/3-whl mv in traf, subs  ",C, 
D,V124XXS,"Pedl cyc driver inj in clsn w 2/3-whl mv in traf, sequela   ",C, 
D,V125XXD,"Pedl cyc pasngr injured in clsn w 2/3-whl mv in traf, subs  ",C, 
D,V125XXS,"Pedl cyc pasngr inj in clsn w 2/3-whl mv in traf, sequela   ",C, 
D,V129XXD,"Unsp pedl cyclst injured in clsn w 2/3-whl mv in traf, subs ",C, 
D,V129XXS,"Unsp pedl cyclst inj in clsn w 2/3-whl mv in traf, sequela  ",C, 
D,V130XXD,"Pedl cyc driver inj pick-up truck, pk-up/van nontraf, subs  ",C, 
D,V130XXS,"Pedl cyc driver inj pk-up truck, pk-up/van nontraf, sequela ",C, 
D,V131XXD,"Pedl cyc pasngr inj pick-up truck, pk-up/van nontraf, subs  ",C, 
D,V131XXS,"Pedl cyc pasngr inj pk-up truck, pk-up/van nontraf, sequela ",C, 
D,V132XXD,"Unsp pedl cyclst inj pick-up truck, pk-up/van nontraf, subs ",C, 
D,V132XXS,"Unsp pedl cyclst inj pk-up truck, pk-up/van nontraf, sequela",C, 
D,V133XXD,"Prsn brd/alit pedl cyc inj pick-up truck, pk-up/van, subs   ",C, 
D,V133XXS,"Prsn brd/alit pedl cyc inj pick-up truck, pk-up/van, sequela",C, 
D,V134XXD,"Pedl cyc driver inj pick-up truck, pk-up/van in traf, subs  ",C, 
D,V134XXS,"Pedl cyc driver inj pk-up truck, pk-up/van in traf, sequela ",C, 
D,V135XXD,"Pedl cyc pasngr inj pick-up truck, pk-up/van in traf, subs  ",C, 
D,V135XXS,"Pedl cyc pasngr inj pk-up truck, pk-up/van in traf, sequela ",C, 
D,V139XXD,"Unsp pedl cyclst inj pick-up truck, pk-up/van in traf, subs ",C, 
D,V139XXS,"Unsp pedl cyclst inj pk-up truck, pk-up/van in traf, sequela",C, 
D,V140XXD,"Pedl cyc driver injured in collision w hv veh nontraf, subs ",C, 
D,V140XXS,"Pedl cyc driver injured in clsn w hv veh nontraf, sequela   ",C, 
D,V141XXD,"Pedl cyc passenger injured in clsn w hv veh nontraf, subs   ",C, 
D,V141XXS,"Pedl cyc passenger injured in clsn w hv veh nontraf, sequela",C, 
D,V142XXD,"Unsp pedl cyclst injured in collision w hv veh nontraf, subs",C, 
D,V142XXS,"Unsp pedl cyclst injured in clsn w hv veh nontraf, sequela  ",C, 
D,V143XXD,"Prsn brd/alit pedl cyc injured in collision w hv veh, subs  ",C, 
D,V143XXS,"Prsn brd/alit pedl cyc injured in clsn w hv veh, sequela    ",C, 
D,V144XXD,"Pedl cyc driver injured in collision w hv veh in traf, subs ",C, 
D,V144XXS,"Pedl cyc driver injured in clsn w hv veh in traf, sequela   ",C, 
D,V145XXD,"Pedl cyc passenger injured in clsn w hv veh in traf, subs   ",C, 
D,V145XXS,"Pedl cyc passenger injured in clsn w hv veh in traf, sequela",C, 
D,V149XXD,"Unsp pedl cyclst injured in collision w hv veh in traf, subs",C, 
D,V149XXS,"Unsp pedl cyclst injured in clsn w hv veh in traf, sequela  ",C, 
D,V150XXD,"Pedl cyc driver injured in clsn w rail trn/veh nontraf, subs",C, 
D,V150XXS,"Pedl cyc driver inj in clsn w rail trn/veh nontraf, sequela ",C, 
D,V151XXD,"Pedl cyc pasngr injured in clsn w rail trn/veh nontraf, subs",C, 
D,V151XXS,"Pedl cyc pasngr inj in clsn w rail trn/veh nontraf, sequela ",C, 
