Type,Code,Description,Injury,Injury Dx
D,S00421A,"Blister (nonthermal) of right ear, initial encounter        ", ,Y
D,S00422A,"Blister (nonthermal) of left ear, initial encounter         ", ,Y
D,S00429A,"Blister (nonthermal) of unspecified ear, initial encounter  ", ,Y
D,S00431A,"Contusion of right ear, initial encounter                   ", ,Y
D,S00432A,"Contusion of left ear, initial encounter                    ", ,Y
D,S00439A,"Contusion of unspecified ear, initial encounter             ", ,Y
D,S00441A,"External constriction of right ear, initial encounter       ", ,Y
D,S00442A,"External constriction of left ear, initial encounter        ", ,Y
D,S00449A,"External constriction of unspecified ear, initial encounter ", ,Y
D,S00451A,"Superficial foreign body of right ear, initial encounter    ", ,Y
D,S00452A,"Superficial foreign body of left ear, initial encounter     ", ,Y
D,S00459A,"Superficial foreign body of unspecified ear, init encntr    ", ,Y
D,S00461A,"Insect bite (nonvenomous) of right ear, initial encounter   ", ,Y
D,S00462A,"Insect bite (nonvenomous) of left ear, initial encounter    ", ,Y
D,S00469A,"Insect bite (nonvenomous) of unspecified ear, init encntr   ", ,Y
D,S00471A,"Other superficial bite of right ear, initial encounter      ", ,Y
D,S00472A,"Other superficial bite of left ear, initial encounter       ", ,Y
D,S00479A,"Other superficial bite of unspecified ear, initial encounter", ,Y
D,S00501A,"Unspecified superficial injury of lip, initial encounter    ", ,Y
D,S00502A,"Unspecified superficial injury of oral cavity, init encntr  ", ,Y
D,S00511A,"Abrasion of lip, initial encounter                          ", ,Y
D,S00512A,"Abrasion of oral cavity, initial encounter                  ", ,Y
D,S00521A,"Blister (nonthermal) of lip, initial encounter              ", ,Y
D,S00522A,"Blister (nonthermal) of oral cavity, initial encounter      ", ,Y
D,S00531A,"Contusion of lip, initial encounter                         ", ,Y
D,S00532A,"Contusion of oral cavity, initial encounter                 ", ,Y
D,S00541A,"External constriction of lip, initial encounter             ", ,Y
D,S00542A,"External constriction of oral cavity, initial encounter     ", ,Y
D,S00551A,"Superficial foreign body of lip, initial encounter          ", ,Y
D,S00552A,"Superficial foreign body of oral cavity, initial encounter  ", ,Y
D,S00561A,"Insect bite (nonvenomous) of lip, initial encounter         ", ,Y
D,S00562A,"Insect bite (nonvenomous) of oral cavity, initial encounter ", ,Y
D,S00571A,"Other superficial bite of lip, initial encounter            ", ,Y
D,S00572A,"Other superficial bite of oral cavity, initial encounter    ", ,Y
D,S0080XA,"Unsp superficial injury of other part of head, init encntr  ", ,Y
D,S0081XA,"Abrasion of other part of head, initial encounter           ", ,Y
D,S0082XA,"Blister (nonthermal) of other part of head, init encntr     ", ,Y
D,S0083XA,"Contusion of other part of head, initial encounter          ", ,Y
D,S0084XA,"External constriction of other part of head, init encntr    ", ,Y
D,S0085XA,"Superficial foreign body of other part of head, init encntr ", ,Y
D,S0086XA,"Insect bite (nonvenomous) of other part of head, init encntr", ,Y
D,S0087XA,"Other superficial bite of other part of head, init encntr   ", ,Y
D,S0090XA,"Unsp superficial injury of unsp part of head, init encntr   ", ,Y
D,S0091XA,"Abrasion of unspecified part of head, initial encounter     ", ,Y
D,S0092XA,"Blister (nonthermal) of unsp part of head, init encntr      ", ,Y
D,S0093XA,"Contusion of unspecified part of head, initial encounter    ", ,Y
D,S0094XA,"External constriction of unsp part of head, init encntr     ", ,Y
D,S0095XA,"Superficial foreign body of unsp part of head, init encntr  ", ,Y
D,S0096XA,"Insect bite (nonvenomous) of unsp part of head, init encntr ", ,Y
D,S0097XA,"Other superficial bite of unsp part of head, init encntr    ", ,Y
D,S0100XA,"Unspecified open wound of scalp, initial encounter          ", ,Y
D,S0101XA,"Laceration without foreign body of scalp, initial encounter ", ,Y
D,S0102XA,"Laceration with foreign body of scalp, initial encounter    ", ,Y
D,S0103XA,"Puncture wound without foreign body of scalp, init encntr   ", ,Y
D,S0104XA,"Puncture wound with foreign body of scalp, initial encounter", ,Y
D,S0105XA,"Open bite of scalp, initial encounter                       ", ,Y
D,S01101A,"Unsp open wound of right eyelid and periocular area, init   ", ,Y
D,S01102A,"Unsp open wound of left eyelid and periocular area, init    ", ,Y
D,S01109A,"Unsp open wound of unsp eyelid and periocular area, init    ", ,Y
D,S01111A,"Laceration w/o fb of right eyelid and periocular area, init ", ,Y
D,S01112A,"Laceration w/o fb of left eyelid and periocular area, init  ", ,Y
D,S01119A,"Laceration w/o fb of unsp eyelid and periocular area, init  ", ,Y
D,S01121A,"Laceration w fb of right eyelid and periocular area, init   ", ,Y
D,S01122A,"Laceration w fb of left eyelid and periocular area, init    ", ,Y
D,S01129A,"Laceration w fb of unsp eyelid and periocular area, init    ", ,Y
D,S01131A,"Pnctr w/o fb of right eyelid and periocular area, init      ", ,Y
D,S01132A,"Pnctr w/o fb of left eyelid and periocular area, init       ", ,Y
D,S01139A,"Pnctr w/o fb of unsp eyelid and periocular area, init       ", ,Y
D,S01141A,"Pnctr w fb of right eyelid and periocular area, init        ", ,Y
D,S01142A,"Pnctr w fb of left eyelid and periocular area, init         ", ,Y
D,S01149A,"Pnctr w fb of unsp eyelid and periocular area, init         ", ,Y
D,S01151A,"Open bite of right eyelid and periocular area, init encntr  ", ,Y
D,S01152A,"Open bite of left eyelid and periocular area, init encntr   ", ,Y
D,S01159A,"Open bite of unsp eyelid and periocular area, init encntr   ", ,Y
D,S0120XA,"Unspecified open wound of nose, initial encounter           ", ,Y
D,S0121XA,"Laceration without foreign body of nose, initial encounter  ", ,Y
D,S0122XA,"Laceration with foreign body of nose, initial encounter     ", ,Y
D,S0123XA,"Puncture wound without foreign body of nose, init encntr    ", ,Y
D,S0124XA,"Puncture wound with foreign body of nose, initial encounter ", ,Y
D,S0125XA,"Open bite of nose, initial encounter                        ", ,Y
D,S01301A,"Unspecified open wound of right ear, initial encounter      ", ,Y
D,S01302A,"Unspecified open wound of left ear, initial encounter       ", ,Y
D,S01309A,"Unspecified open wound of unspecified ear, initial encounter", ,Y
D,S01311A,"Laceration without foreign body of right ear, init encntr   ", ,Y
D,S01312A,"Laceration without foreign body of left ear, init encntr    ", ,Y
D,S01319A,"Laceration without foreign body of unsp ear, init encntr    ", ,Y
D,S01321A,"Laceration with foreign body of right ear, initial encounter", ,Y
D,S01322A,"Laceration with foreign body of left ear, initial encounter ", ,Y
D,S01329A,"Laceration with foreign body of unspecified ear, init encntr", ,Y
D,S01331A,"Puncture wound w/o foreign body of right ear, init encntr   ", ,Y
D,S01332A,"Puncture wound without foreign body of left ear, init encntr", ,Y
D,S01339A,"Puncture wound without foreign body of unsp ear, init encntr", ,Y
D,S01341A,"Puncture wound with foreign body of right ear, init encntr  ", ,Y
D,S01342A,"Puncture wound with foreign body of left ear, init encntr   ", ,Y
D,S01349A,"Puncture wound with foreign body of unsp ear, init encntr   ", ,Y
D,S01351A,"Open bite of right ear, initial encounter                   ", ,Y
D,S01352A,"Open bite of left ear, initial encounter                    ", ,Y
D,S01359A,"Open bite of unspecified ear, initial encounter             ", ,Y
D,S01401A,"Unsp open wound of right cheek and TMJ area, init           ", ,Y
D,S01402A,"Unsp open wound of left cheek and TMJ area, init            ", ,Y
D,S01409A,"Unsp open wound of unsp cheek and TMJ area, init            ", ,Y
D,S01411A,"Laceration w/o fb of right cheek and TMJ area, init         ", ,Y
D,S01412A,"Laceration w/o foreign body of left cheek and TMJ area, init", ,Y
D,S01419A,"Laceration w/o foreign body of unsp cheek and TMJ area, init", ,Y
D,S01421A,"Laceration w foreign body of right cheek and TMJ area, init ", ,Y
D,S01422A,"Laceration w foreign body of left cheek and TMJ area, init  ", ,Y
D,S01429A,"Laceration w foreign body of unsp cheek and TMJ area, init  ", ,Y
D,S01431A,"Pnctr w/o foreign body of right cheek and TMJ area, init    ", ,Y
D,S01432A,"Pnctr w/o foreign body of left cheek and TMJ area, init     ", ,Y
D,S01439A,"Pnctr w/o foreign body of unsp cheek and TMJ area, init     ", ,Y
D,S01441A,"Pnctr w foreign body of right cheek and TMJ area, init      ", ,Y
D,S01442A,"Pnctr w foreign body of left cheek and TMJ area, init       ", ,Y
D,S01449A,"Pnctr w foreign body of unsp cheek and TMJ area, init       ", ,Y
D,S01451A,"Open bite of right cheek and temporomandibular area, init   ", ,Y
D,S01452A,"Open bite of left cheek and temporomandibular area, init    ", ,Y
D,S01459A,"Open bite of unsp cheek and temporomandibular area, init    ", ,Y
D,S01501A,"Unspecified open wound of lip, initial encounter            ", ,Y
D,S01502A,"Unspecified open wound of oral cavity, initial encounter    ", ,Y
D,S01511A,"Laceration without foreign body of lip, initial encounter   ", ,Y
D,S01512A,"Laceration without foreign body of oral cavity, init encntr ", ,Y
D,S01521A,"Laceration with foreign body of lip, initial encounter      ", ,Y
D,S01522A,"Laceration with foreign body of oral cavity, init encntr    ", ,Y
D,S01531A,"Puncture wound without foreign body of lip, init encntr     ", ,Y
D,S01532A,"Puncture wound w/o foreign body of oral cavity, init encntr ", ,Y
D,S01541A,"Puncture wound with foreign body of lip, initial encounter  ", ,Y
D,S01542A,"Puncture wound with foreign body of oral cavity, init encntr", ,Y
D,S01551A,"Open bite of lip, initial encounter                         ", ,Y
D,S01552A,"Open bite of oral cavity, initial encounter                 ", ,Y
D,S0180XA,"Unspecified open wound of other part of head, init encntr   ", ,Y
D,S0181XA,"Laceration w/o foreign body of oth part of head, init encntr", ,Y
D,S0182XA,"Laceration w foreign body of oth part of head, init encntr  ", ,Y
D,S0183XA,"Puncture wound w/o foreign body oth prt head, init encntr   ", ,Y
D,S0184XA,"Puncture wound w foreign body oth prt head, init encntr     ", ,Y
D,S0185XA,"Open bite of other part of head, initial encounter          ", ,Y
D,S0190XA,"Unsp open wound of unspecified part of head, init encntr    ", ,Y
D,S0191XA,"Laceration w/o foreign body of unsp part of head, init      ", ,Y
D,S0192XA,"Laceration w foreign body of unsp part of head, init encntr ", ,Y
D,S0193XA,"Puncture wound w/o foreign body of unsp part of head, init  ", ,Y
D,S0194XA,"Puncture wound w foreign body of unsp part of head, init    ", ,Y
D,S0195XA,"Open bite of unspecified part of head, initial encounter    ", ,Y
D,S020XXA,"Fracture of vault of skull, init encntr for closed fracture ", ,Y
D,S020XXB,"Fracture of vault of skull, init encntr for open fracture   ", ,Y
D,S0210XA,"Unsp fracture of base of skull, init for clos fx            ", ,Y
D,S0210XB,"Unsp fracture of base of skull, init for opn fx             ", ,Y
D,S02110A,"Type I occipital condyle fracture, init for clos fx         ", ,Y
D,S02110B,"Type I occipital condyle fracture, init for opn fx          ", ,Y
D,S02111A,"Type II occipital condyle fracture, init for clos fx        ", ,Y
D,S02111B,"Type II occipital condyle fracture, init for opn fx         ", ,Y
D,S02112A,"Type III occipital condyle fracture, init for clos fx       ", ,Y
D,S02112B,"Type III occipital condyle fracture, init for opn fx        ", ,Y
D,S02113A,"Unsp occipital condyle fracture, init for clos fx           ", ,Y
D,S02113B,"Unsp occipital condyle fracture, init for opn fx            ", ,Y
D,S02118A,"Other fracture of occiput, init encntr for closed fracture  ", ,Y
D,S02118B,"Other fracture of occiput, init encntr for open fracture    ", ,Y
D,S02119A,"Unsp fracture of occiput, init encntr for closed fracture   ", ,Y
D,S02119B,"Unsp fracture of occiput, init encntr for open fracture     ", ,Y
D,S0219XA,"Oth fracture of base of skull, init for clos fx             ", ,Y
D,S0219XB,"Oth fracture of base of skull, init encntr for open fracture", ,Y
D,S022XXA,"Fracture of nasal bones, init encntr for closed fracture    ", ,Y
D,S022XXB,"Fracture of nasal bones, initial encounter for open fracture", ,Y
D,S023XXA,"Fracture of orbital floor, init encntr for closed fracture  ", ,Y
D,S023XXB,"Fracture of orbital floor, init encntr for open fracture    ", ,Y
D,S02400A,"Malar fracture unspecified, init encntr for closed fracture ", ,Y
D,S02400B,"Malar fracture unspecified, init encntr for open fracture   ", ,Y
D,S02401A,"Maxillary fracture, unsp, init encntr for closed fracture   ", ,Y
D,S02401B,"Maxillary fracture, unsp, init encntr for open fracture     ", ,Y
D,S02402A,"Zygomatic fracture, unsp, init encntr for closed fracture   ", ,Y
D,S02402B,"Zygomatic fracture, unsp, init encntr for open fracture     ", ,Y
D,S02411A,"LeFort I fracture, initial encounter for closed fracture    ", ,Y
D,S02411B,"LeFort I fracture, initial encounter for open fracture      ", ,Y
D,S02412A,"LeFort II fracture, initial encounter for closed fracture   ", ,Y
D,S02412B,"LeFort II fracture, initial encounter for open fracture     ", ,Y
D,S02413A,"LeFort III fracture, initial encounter for closed fracture  ", ,Y
D,S02413B,"LeFort III fracture, initial encounter for open fracture    ", ,Y
D,S0242XA,"Fracture of alveolus of maxilla, init for clos fx           ", ,Y
D,S0242XB,"Fracture of alveolus of maxilla, init for opn fx            ", ,Y
D,S025XXA,"Fracture of tooth (traumatic), init for clos fx             ", ,Y
D,S025XXB,"Fracture of tooth (traumatic), init encntr for open fracture", ,Y
D,S02600A,"Fracture of unsp part of body of mandible, init for clos fx ", ,Y
D,S02600B,"Fracture of unsp part of body of mandible, init for opn fx  ", ,Y
D,S02609A,"Fracture of mandible, unsp, init encntr for closed fracture ", ,Y
D,S02609B,"Fracture of mandible, unsp, init encntr for open fracture   ", ,Y
D,S0261XA,"Fracture of condylar process of mandible, init for clos fx  ", ,Y
D,S0261XB,"Fracture of condylar process of mandible, init for opn fx   ", ,Y
D,S0262XA,"Fracture of subcondylar process of mandible, init           ", ,Y
D,S0262XB,"Fracture of subcondylar process of mandible, init for opn fx", ,Y
D,S0263XA,"Fracture of coronoid process of mandible, init for clos fx  ", ,Y
D,S0263XB,"Fracture of coronoid process of mandible, init for opn fx   ", ,Y
D,S0264XA,"Fracture of ramus of mandible, init for clos fx             ", ,Y
D,S0264XB,"Fracture of ramus of mandible, init encntr for open fracture", ,Y
D,S0265XA,"Fracture of angle of mandible, init for clos fx             ", ,Y
D,S0265XB,"Fracture of angle of mandible, init encntr for open fracture", ,Y
D,S0266XA,"Fracture of symphysis of mandible, init for clos fx         ", ,Y
D,S0266XB,"Fracture of symphysis of mandible, init for opn fx          ", ,Y
D,S0267XA,"Fracture of alveolus of mandible, init for clos fx          ", ,Y
D,S0267XB,"Fracture of alveolus of mandible, init for opn fx           ", ,Y
D,S0269XA,"Fracture of mandible of oth site, init for clos fx          ", ,Y
D,S0269XB,"Fracture of mandible of oth site, init for opn fx           ", ,Y
D,S028XXA,"Fractures of oth skull and facial bones, init for clos fx   ", ,Y
D,S028XXB,"Fractures of oth skull and facial bones, init for opn fx    ", ,Y
D,S0291XA,"Unsp fracture of skull, init encntr for closed fracture     ", ,Y
D,S0291XB,"Unspecified fracture of skull, init encntr for open fracture", ,Y
D,S0292XA,"Unsp fracture of facial bones, init for clos fx             ", ,Y
D,S0292XB,"Unsp fracture of facial bones, init encntr for open fracture", ,Y
D,S030XXA,"Dislocation of jaw, initial encounter                       ", ,Y
D,S031XXA,"Dislocation of septal cartilage of nose, initial encounter  ", ,Y
D,S032XXA,"Dislocation of tooth, initial encounter                     ", ,Y
D,S034XXA,"Sprain of jaw, initial encounter                            ", ,Y
D,S038XXA,"Sprain of joints and ligaments of oth prt head, init encntr ", ,Y
D,S039XXA,"Sprain of joints and ligaments of unsp parts of head, init  ", ,Y
D,S04011A,"Injury of optic nerve, right eye, initial encounter         ", ,Y
D,S04012A,"Injury of optic nerve, left eye, initial encounter          ", ,Y
D,S04019A,"Injury of optic nerve, unspecified eye, initial encounter   ", ,Y
D,S0402XA,"Injury of optic chiasm, initial encounter                   ", ,Y
D,S04031A,"Injury of optic tract and pathways, right eye, init encntr  ", ,Y
D,S04032A,"Injury of optic tract and pathways, left eye, init encntr   ", ,Y
D,S04039A,"Injury of optic tract and pathways, unsp eye, init encntr   ", ,Y
D,S04041A,"Injury of visual cortex, right eye, initial encounter       ", ,Y
D,S04042A,"Injury of visual cortex, left eye, initial encounter        ", ,Y
D,S04049A,"Injury of visual cortex, unspecified eye, initial encounter ", ,Y
D,S0410XA,"Injury of oculomotor nerve, unspecified side, init encntr   ", ,Y
D,S0411XA,"Injury of oculomotor nerve, right side, initial encounter   ", ,Y
D,S0412XA,"Injury of oculomotor nerve, left side, initial encounter    ", ,Y
D,S0420XA,"Injury of trochlear nerve, unspecified side, init encntr    ", ,Y
D,S0421XA,"Injury of trochlear nerve, right side, initial encounter    ", ,Y
D,S0422XA,"Injury of trochlear nerve, left side, initial encounter     ", ,Y
D,S0430XA,"Injury of trigeminal nerve, unspecified side, init encntr   ", ,Y
D,S0431XA,"Injury of trigeminal nerve, right side, initial encounter   ", ,Y
D,S0432XA,"Injury of trigeminal nerve, left side, initial encounter    ", ,Y
D,S0440XA,"Injury of abducent nerve, unspecified side, init encntr     ", ,Y
D,S0441XA,"Injury of abducent nerve, right side, initial encounter     ", ,Y
D,S0442XA,"Injury of abducent nerve, left side, initial encounter      ", ,Y
D,S0450XA,"Injury of facial nerve, unspecified side, initial encounter ", ,Y
D,S0451XA,"Injury of facial nerve, right side, initial encounter       ", ,Y
D,S0452XA,"Injury of facial nerve, left side, initial encounter        ", ,Y
D,S0460XA,"Injury of acoustic nerve, unspecified side, init encntr     ", ,Y
D,S0461XA,"Injury of acoustic nerve, right side, initial encounter     ", ,Y
D,S0462XA,"Injury of acoustic nerve, left side, initial encounter      ", ,Y
D,S0470XA,"Injury of accessory nerve, unspecified side, init encntr    ", ,Y
D,S0471XA,"Injury of accessory nerve, right side, initial encounter    ", ,Y
D,S0472XA,"Injury of accessory nerve, left side, initial encounter     ", ,Y
D,S04811A,"Injury of olfactory nerve, right side, initial encounter    ", ,Y
D,S04812A,"Injury of olfactory nerve, left side, initial encounter     ", ,Y
D,S04819A,"Injury of olfactory nerve, unspecified side, init encntr    ", ,Y
D,S04891A,"Injury of other cranial nerves, right side, init encntr     ", ,Y
D,S04892A,"Injury of other cranial nerves, left side, initial encounter", ,Y
D,S04899A,"Injury of other cranial nerves, unsp side, init encntr      ", ,Y
D,S049XXA,"Injury of unspecified cranial nerve, initial encounter      ", ,Y
D,S0500XA,"Inj conjunctiva and corneal abrasion w/o fb, unsp eye, init ", ,Y
D,S0501XA,"Inj conjunctiva and corneal abrasion w/o fb, right eye, init", ,Y
D,S0502XA,"Inj conjunctiva and corneal abrasion w/o fb, left eye, init ", ,Y
D,S0510XA,"Contusion of eyeball and orbital tissues, unsp eye, init    ", ,Y
D,S0511XA,"Contusion of eyeball and orbital tissues, right eye, init   ", ,Y
D,S0512XA,"Contusion of eyeball and orbital tissues, left eye, init    ", ,Y
D,S0520XA,"Oclr lac/rupt w prolaps/loss of intraoc tiss, unsp eye, init", ,Y
D,S0521XA,"Oclr lac/rupt w prolaps/loss of intraoc tissue, r eye, init ", ,Y
D,S0522XA,"Oclr lac/rupt w prolaps/loss of intraoc tissue, l eye, init ", ,Y
D,S0530XA,"Oclr lac w/o prolaps/loss of intraoc tissue, unsp eye, init ", ,Y
D,S0531XA,"Ocular lac w/o prolaps/loss of intraoc tissue, r eye, init  ", ,Y
D,S0532XA,"Ocular lac w/o prolaps/loss of intraoc tissue, l eye, init  ", ,Y
D,S0540XA,"Penetrating wound of orbit w or w/o fb, unsp eye, init      ", ,Y
D,S0541XA,"Penetrating wound of orbit w or w/o fb, right eye, init     ", ,Y
D,S0542XA,"Penetrating wound of orbit w or w/o fb, left eye, init      ", ,Y
D,S0550XA,"Penetrating wound w foreign body of unsp eyeball, init      ", ,Y
D,S0551XA,"Penetrating wound w foreign body of right eyeball, init     ", ,Y
D,S0552XA,"Penetrating wound w foreign body of left eyeball, init      ", ,Y
D,S0560XA,"Penetrating wound w/o foreign body of unsp eyeball, init    ", ,Y
D,S0561XA,"Penetrating wound w/o foreign body of right eyeball, init   ", ,Y
D,S0562XA,"Penetrating wound w/o foreign body of left eyeball, init    ", ,Y
D,S0570XA,"Avulsion of unspecified eye, initial encounter              ", ,Y
D,S0571XA,"Avulsion of right eye, initial encounter                    ", ,Y
D,S0572XA,"Avulsion of left eye, initial encounter                     ", ,Y
D,S058X1A,"Other injuries of right eye and orbit, initial encounter    ", ,Y
D,S058X2A,"Other injuries of left eye and orbit, initial encounter     ", ,Y
D,S058X9A,"Other injuries of unspecified eye and orbit, init encntr    ", ,Y
D,S0590XA,"Unspecified injury of unspecified eye and orbit, init encntr", ,Y
D,S0591XA,"Unspecified injury of right eye and orbit, initial encounter", ,Y
D,S0592XA,"Unspecified injury of left eye and orbit, initial encounter ", ,Y
D,S060X0A,"Concussion without loss of consciousness, initial encounter ", ,Y
D,S060X1A,"Concussion w LOC of 30 minutes or less, init                ", ,Y
D,S060X2A,"Concussion w loss of consciousness of 31-59 min, init       ", ,Y
D,S060X3A,"Concussion w loss of consciousness of 1-5 hrs 59 min, init  ", ,Y
D,S060X4A,"Concussion w LOC of 6 hours to 24 hours, init               ", ,Y
D,S060X5A,"Concussion w LOC >24 hr w ret consc lev, init               ", ,Y
D,S060X6A,"Concussion w LOC >24 hr w/o ret consc w surv, init          ", ,Y
D,S060X7A,"Concussion w LOC w death due to brain injury bf consc, init ", ,Y
D,S060X8A,"Concussion w LOC w death due to oth cause bf consc, init    ", ,Y
D,S060X9A,"Concussion w loss of consciousness of unsp duration, init   ", ,Y
D,S061X0A,"Traumatic cerebral edema w/o loss of consciousness, init    ", ,Y
D,S061X1A,"Traumatic cerebral edema w LOC of 30 minutes or less, init  ", ,Y
D,S061X2A,"Traumatic cerebral edema w LOC of 31-59 min, init           ", ,Y
D,S061X3A,"Traumatic cerebral edema w LOC of 1-5 hrs 59 min, init      ", ,Y
D,S061X4A,"Traumatic cerebral edema w LOC of 6 hours to 24 hours, init ", ,Y
D,S061X5A,"Traumatic cerebral edema w LOC >24 hr w ret consc lev, init ", ,Y
D,S061X6A,"Traum cerebral edema w LOC >24 hr w/o ret consc w surv, init", ,Y
D,S061X7A,"Traum cereb edema w LOC w death d/t brain inj bf consc, init", ,Y
D,S061X8A,"Traum cereb edema w LOC w death d/t oth cause bf consc, init", ,Y
D,S061X9A,"Traumatic cerebral edema w LOC of unsp duration, init       ", ,Y
D,S062X0A,"Diffuse TBI w/o loss of consciousness, init                 ", ,Y
D,S062X1A,"Diffuse TBI w LOC of 30 minutes or less, init               ", ,Y
D,S062X2A,"Diffuse TBI w loss of consciousness of 31-59 min, init      ", ,Y
D,S062X3A,"Diffuse TBI w loss of consciousness of 1-5 hrs 59 min, init ", ,Y
D,S062X4A,"Diffuse TBI w LOC of 6 hours to 24 hours, init              ", ,Y
D,S062X5A,"Diffuse TBI w LOC >24 hr w return to conscious levels, init ", ,Y
D,S062X6A,"Diffuse TBI w LOC >24 hr w/o ret consc w surv, init         ", ,Y
D,S062X7A,"Diffuse TBI w LOC w death due to brain injury bf consc, init", ,Y
D,S062X8A,"Diffuse TBI w LOC w death due to oth cause bf consc, init   ", ,Y
D,S062X9A,"Diffuse TBI w loss of consciousness of unsp duration, init  ", ,Y
D,S06300A,"Unsp focal TBI w/o loss of consciousness, init              ", ,Y
D,S06301A,"Unsp focal TBI w LOC of 30 minutes or less, init            ", ,Y
D,S06302A,"Unsp focal TBI w loss of consciousness of 31-59 min, init   ", ,Y
D,S06303A,"Unsp focal TBI w LOC of 1-5 hrs 59 min, init                ", ,Y
D,S06304A,"Unsp focal TBI w LOC of 6 hours to 24 hours, init           ", ,Y
D,S06305A,"Unsp focal TBI w LOC >24 hr w ret consc lev, init           ", ,Y
D,S06306A,"Unsp focal TBI w LOC >24 hr w/o ret consc w surv, init      ", ,Y
D,S06307A,"Unsp focal TBI w LOC w death d/t brain injury bf consc, init", ,Y
D,S06308A,"Unsp focal TBI w LOC w death due to oth cause bf consc, init", ,Y
D,S06309A,"Unsp focal TBI w LOC of unsp duration, init                 ", ,Y
D,S06310A,"Contus/lac right cerebrum w/o loss of consciousness, init   ", ,Y
D,S06311A,"Contus/lac right cerebrum w LOC of 30 minutes or less, init ", ,Y
D,S06312A,"Contus/lac right cerebrum w LOC of 31-59 min, init          ", ,Y
D,S06313A,"Contus/lac right cerebrum w LOC of 1-5 hrs 59 min, init     ", ,Y
D,S06314A,"Contus/lac right cerebrum w LOC of 6 hours to 24 hours, init", ,Y
D,S06315A,"Contus/lac right cerebrum w LOC >24 hr w ret consc lev, init", ,Y
