Type,Code,Description,Injury,Injury Dx
D,V0409XA,"Ped w convey injured in collision w hv veh nontraf, init    ",R, 
D,V0410XA,"Ped on foot injured in collision w hv veh in traf, init     ",R, 
D,V0411XA,"Ped on rolr-skt injured in collision w hv veh in traf, init ",R, 
D,V0412XA,"Ped on sktbrd injured in collision w hv veh in traf, init   ",R, 
D,V0419XA,"Ped w convey injured in collision w hv veh in traf, init    ",R, 
D,V0490XA,"Pedestrian on foot injured in collision w hv veh, unsp, init",R, 
D,V0491XA,"Ped on rolr-skt injured in collision w hv veh, unsp, init   ",R, 
D,V0492XA,"Ped on skateboard injured in collision w hv veh, unsp, init ",R, 
D,V0499XA,"Ped w convey injured in collision w hv veh, unsp, init      ",R, 
D,V0500XA,"Ped on foot injured in clsn w rail trn/veh nontraf, init    ",R, 
D,V0501XA,"Ped on rolr-skt injured in clsn w rail trn/veh nontraf, init",R, 
D,V0502XA,"Ped on sktbrd injured in clsn w rail trn/veh nontraf, init  ",R, 
D,V0509XA,"Ped w convey injured in clsn w rail trn/veh nontraf, init   ",R, 
D,V0510XA,"Ped on foot injured in clsn w rail trn/veh in traf, init    ",R, 
D,V0511XA,"Ped on rolr-skt injured in clsn w rail trn/veh in traf, init",R, 
D,V0512XA,"Ped on sktbrd injured in clsn w rail trn/veh in traf, init  ",R, 
D,V0519XA,"Ped w convey injured in clsn w rail trn/veh in traf, init   ",R, 
D,V0590XA,"Ped on foot injured in collision w rail trn/veh, unsp, init ",R, 
D,V0591XA,"Ped on rolr-skt injured in clsn w rail trn/veh, unsp, init  ",R, 
D,V0592XA,"Ped on sktbrd injured in clsn w rail trn/veh, unsp, init    ",R, 
D,V0599XA,"Ped w convey injured in collision w rail trn/veh, unsp, init",R, 
D,V0600XA,"Ped on foot injured in clsn w nonmtr vehicle nontraf, init  ",R, 
D,V0601XA,"Ped on rolr-skt inj in clsn w nonmtr vehicle nontraf, init  ",R, 
D,V0602XA,"Ped on sktbrd injured in clsn w nonmtr vehicle nontraf, init",R, 
D,V0609XA,"Ped w convey injured in clsn w nonmtr vehicle nontraf, init ",R, 
D,V0610XA,"Ped on foot injured in clsn w nonmtr vehicle in traf, init  ",R, 
D,V0611XA,"Ped on rolr-skt inj in clsn w nonmtr vehicle in traf, init  ",R, 
D,V0612XA,"Ped on sktbrd injured in clsn w nonmtr vehicle in traf, init",R, 
D,V0619XA,"Ped w convey injured in clsn w nonmtr vehicle in traf, init ",R, 
D,V0690XA,"Ped on foot injured in clsn w nonmtr vehicle, unsp, init    ",R, 
D,V0691XA,"Ped on rolr-skt injured in clsn w nonmtr vehicle, unsp, init",R, 
D,V0692XA,"Ped on sktbrd injured in clsn w nonmtr vehicle, unsp, init  ",R, 
D,V0699XA,"Ped w convey injured in clsn w nonmtr vehicle, unsp, init   ",R, 
D,V0900XA,"Pedestrian injured nontraf involving unsp mv, init          ",R, 
D,V0901XA,"Pedestrian injured nontraf involving military vehicle, init ",R, 
D,V0909XA,"Pedestrian injured nontraf involving oth mv, init           ",R, 
D,V091XXA,"Pedestrian injured in unsp nontraffic accident, init encntr ",R, 
D,V0920XA,"Pedestrian injured in traf involving unsp mv, init          ",R, 
D,V0921XA,"Pedestrian injured in traf involving military vehicle, init ",R, 
D,V0929XA,"Pedestrian injured in traf involving oth mv, init           ",R, 
D,V093XXA,"Pedestrian injured in unsp traffic accident, init encntr    ",R, 
D,V099XXA,"Pedestrian injured in unsp transport accident, init encntr  ",R, 
D,V100XXA,"Pedl cyc driver injured in clsn w ped/anml nontraf, init    ",R, 
D,V101XXA,"Pedl cyc passenger injured in clsn w ped/anml nontraf, init ",R, 
D,V102XXA,"Unsp pedl cyclst injured in clsn w ped/anml nontraf, init   ",R, 
D,V103XXA,"Prsn brd/alit pedl cyc injured in collision w ped/anml, init",R, 
D,V104XXA,"Pedl cyc driver injured in clsn w ped/anml in traf, init    ",R, 
D,V105XXA,"Pedl cyc passenger injured in clsn w ped/anml in traf, init ",R, 
D,V109XXA,"Unsp pedl cyclst injured in clsn w ped/anml in traf, init   ",R, 
D,V110XXA,"Pedl cyc driver injured in clsn w oth pedl cyc nontraf, init",R, 
D,V111XXA,"Pedl cyc pasngr injured in clsn w oth pedl cyc nontraf, init",R, 
D,V112XXA,"Unsp pedl cyclst inj in clsn w oth pedl cyc nontraf, init   ",R, 
D,V113XXA,"Prsn brd/alit pedl cyc injured in clsn w oth pedl cyc, init ",R, 
D,V114XXA,"Pedl cyc driver injured in clsn w oth pedl cyc in traf, init",R, 
D,V115XXA,"Pedl cyc pasngr injured in clsn w oth pedl cyc in traf, init",R, 
D,V119XXA,"Unsp pedl cyclst inj in clsn w oth pedl cyc in traf, init   ",R, 
D,V120XXA,"Pedl cyc driver injured in clsn w 2/3-whl mv nontraf, init  ",R, 
D,V121XXA,"Pedl cyc pasngr injured in clsn w 2/3-whl mv nontraf, init  ",R, 
D,V122XXA,"Unsp pedl cyclst injured in clsn w 2/3-whl mv nontraf, init ",R, 
D,V123XXA,"Prsn brd/alit pedl cyc injured in clsn w 2/3-whl mv, init   ",R, 
D,V124XXA,"Pedl cyc driver injured in clsn w 2/3-whl mv in traf, init  ",R, 
D,V125XXA,"Pedl cyc pasngr injured in clsn w 2/3-whl mv in traf, init  ",R, 
D,V129XXA,"Unsp pedl cyclst injured in clsn w 2/3-whl mv in traf, init ",R, 
D,V130XXA,"Pedl cyc driver inj pick-up truck, pk-up/van nontraf, init  ",R, 
D,V131XXA,"Pedl cyc pasngr inj pick-up truck, pk-up/van nontraf, init  ",R, 
D,V132XXA,"Unsp pedl cyclst inj pick-up truck, pk-up/van nontraf, init ",R, 
D,V133XXA,"Prsn brd/alit pedl cyc inj pick-up truck, pk-up/van, init   ",R, 
D,V134XXA,"Pedl cyc driver inj pick-up truck, pk-up/van in traf, init  ",R, 
D,V135XXA,"Pedl cyc pasngr inj pick-up truck, pk-up/van in traf, init  ",R, 
D,V139XXA,"Unsp pedl cyclst inj pick-up truck, pk-up/van in traf, init ",R, 
D,V140XXA,"Pedl cyc driver injured in collision w hv veh nontraf, init ",R, 
D,V141XXA,"Pedl cyc passenger injured in clsn w hv veh nontraf, init   ",R, 
D,V142XXA,"Unsp pedl cyclst injured in collision w hv veh nontraf, init",R, 
D,V143XXA,"Prsn brd/alit pedl cyc injured in collision w hv veh, init  ",R, 
D,V144XXA,"Pedl cyc driver injured in collision w hv veh in traf, init ",R, 
D,V145XXA,"Pedl cyc passenger injured in clsn w hv veh in traf, init   ",R, 
D,V149XXA,"Unsp pedl cyclst injured in collision w hv veh in traf, init",R, 
D,V150XXA,"Pedl cyc driver injured in clsn w rail trn/veh nontraf, init",R, 
D,V151XXA,"Pedl cyc pasngr injured in clsn w rail trn/veh nontraf, init",R, 
D,V152XXA,"Unsp pedl cyclst inj in clsn w rail trn/veh nontraf, init   ",R, 
D,V153XXA,"Prsn brd/alit pedl cyc injured in clsn w rail trn/veh, init ",R, 
D,V154XXA,"Pedl cyc driver injured in clsn w rail trn/veh in traf, init",R, 
D,V155XXA,"Pedl cyc pasngr injured in clsn w rail trn/veh in traf, init",R, 
D,V159XXA,"Unsp pedl cyclst inj in clsn w rail trn/veh in traf, init   ",R, 
D,V160XXA,"Pedl cyc driver inj in clsn w nonmtr vehicle nontraf, init  ",R, 
D,V161XXA,"Pedl cyc pasngr inj in clsn w nonmtr vehicle nontraf, init  ",R, 
D,V162XXA,"Unsp pedl cyclst inj in clsn w nonmtr vehicle nontraf, init ",R, 
D,V163XXA,"Prsn brd/alit pedl cyc inj in clsn w nonmtr veh nontraf,init",R, 
D,V164XXA,"Pedl cyc driver inj in clsn w nonmtr vehicle in traf, init  ",R, 
D,V165XXA,"Pedl cyc pasngr inj in clsn w nonmtr vehicle in traf, init  ",R, 
D,V169XXA,"Unsp pedl cyclst inj in clsn w nonmtr vehicle in traf, init ",R, 
D,V170XXA,"Pedl cyc driver inj in clsn w statnry object nontraf, init  ",R, 
D,V171XXA,"Pedl cyc pasngr inj in clsn w statnry object nontraf, init  ",R, 
D,V172XXA,"Unsp pedl cyclst inj in clsn w statnry object nontraf, init ",R, 
D,V173XXA,"Prsn brd/alit pedl cyc inj in clsn w statnry object, init   ",R, 
D,V174XXA,"Pedl cyc driver inj in clsn w statnry object in traf, init  ",R, 
D,V175XXA,"Pedl cyc pasngr inj in clsn w statnry object in traf, init  ",R, 
D,V179XXA,"Unsp pedl cyclst inj in clsn w statnry object in traf, init ",R, 
D,V180XXA,"Pedl cyc driver injured in nonclsn trnsp acc nontraf, init  ",R, 
D,V181XXA,"Pedl cyc pasngr injured in nonclsn trnsp acc nontraf, init  ",R, 
D,V182XXA,"Unsp pedl cyclst injured in nonclsn trnsp acc nontraf, init ",R, 
D,V183XXA,"Prsn brd/alit pedl cyc injured in nonclsn trnsp acc, init   ",R, 
D,V184XXA,"Pedl cyc driver injured in nonclsn trnsp acc in traf, init  ",R, 
D,V185XXA,"Pedl cyc pasngr injured in nonclsn trnsp acc in traf, init  ",R, 
D,V189XXA,"Unsp pedl cyclst injured in nonclsn trnsp acc in traf, init ",R, 
D,V1900XA,"Pedl cyc driver injured in collision w unsp mv nontraf, init",R, 
D,V1909XA,"Pedl cyc driver injured in collision w oth mv nontraf, init ",R, 
D,V1910XA,"Pedl cyc passenger injured in clsn w unsp mv nontraf, init  ",R, 
D,V1919XA,"Pedl cyc passenger injured in clsn w oth mv nontraf, init   ",R, 
D,V1920XA,"Unsp pedl cyclst injured in clsn w unsp mv nontraf, init    ",R, 
D,V1929XA,"Unsp pedl cyclst injured in collision w oth mv nontraf, init",R, 
D,V193XXA,"Pedl cyclst (driver) injured in unsp nontraf, init          ",R, 
D,V1940XA,"Pedl cyc driver injured in collision w unsp mv in traf, init",R, 
D,V1949XA,"Pedl cyc driver injured in collision w oth mv in traf, init ",R, 
D,V1950XA,"Pedl cyc passenger injured in clsn w unsp mv in traf, init  ",R, 
D,V1959XA,"Pedl cyc passenger injured in clsn w oth mv in traf, init   ",R, 
D,V1960XA,"Unsp pedl cyclst injured in clsn w unsp mv in traf, init    ",R, 
D,V1969XA,"Unsp pedl cyclst injured in collision w oth mv in traf, init",R, 
D,V1981XA,"Pedl cyclst injured in trnsp acc w military vehicle, init   ",R, 
D,V1988XA,"Pedl cyclst (driver) injured in oth transport acc, init     ",R, 
D,V199XXA,"Pedl cyclst (driver) (passenger) injured in unsp traf, init ",R, 
D,V200XXA,"Mtrcy driver injured in collision w ped/anml nontraf, init  ",R, 
D,V201XXA,"Mtrcy passenger injured in clsn w ped/anml nontraf, init    ",R, 
D,V202XXA,"Unsp mtrcy rider injured in clsn w ped/anml nontraf, init   ",R, 
D,V203XXA,"Prsn brd/alit mtrcy injured in collision w ped/anml, init   ",R, 
D,V204XXA,"Mtrcy driver injured in collision w ped/anml in traf, init  ",R, 
D,V205XXA,"Mtrcy passenger injured in clsn w ped/anml in traf, init    ",R, 
D,V209XXA,"Unsp mtrcy rider injured in clsn w ped/anml in traf, init   ",R, 
D,V210XXA,"Mtrcy driver injured in collision w pedl cyc nontraf, init  ",R, 
D,V211XXA,"Mtrcy passenger injured in clsn w pedl cyc nontraf, init    ",R, 
D,V212XXA,"Unsp mtrcy rider injured in clsn w pedl cyc nontraf, init   ",R, 
D,V213XXA,"Prsn brd/alit mtrcy injured in collision w pedal cycle, init",R, 
D,V214XXA,"Mtrcy driver injured in collision w pedl cyc in traf, init  ",R, 
D,V215XXA,"Mtrcy passenger injured in clsn w pedl cyc in traf, init    ",R, 
D,V219XXA,"Unsp mtrcy rider injured in clsn w pedl cyc in traf, init   ",R, 
D,V220XXA,"Mtrcy driver injured in collision w 2/3-whl mv nontraf, init",R, 
D,V221XXA,"Mtrcy passenger injured in clsn w 2/3-whl mv nontraf, init  ",R, 
D,V222XXA,"Unsp mtrcy rider injured in clsn w 2/3-whl mv nontraf, init ",R, 
D,V223XXA,"Prsn brd/alit mtrcy injured in collision w 2/3-whl mv, init ",R, 
D,V224XXA,"Mtrcy driver injured in collision w 2/3-whl mv in traf, init",R, 
D,V225XXA,"Mtrcy passenger injured in clsn w 2/3-whl mv in traf, init  ",R, 
D,V229XXA,"Unsp mtrcy rider injured in clsn w 2/3-whl mv in traf, init ",R, 
D,V230XXA,"Mtrcy driver injured pick-up truck, pk-up/van nontraf, init ",R, 
D,V231XXA,"Mtrcy pasngr injured pick-up truck, pk-up/van nontraf, init ",R, 
D,V232XXA,"Unsp mtrcy rider inj pick-up truck, pk-up/van nontraf, init ",R, 
D,V233XXA,"Prsn brd/alit mtrcy injured pick-up truck, pk-up/van, init  ",R, 
D,V234XXA,"Mtrcy driver injured pick-up truck, pk-up/van in traf, init ",R, 
D,V235XXA,"Mtrcy pasngr injured pick-up truck, pk-up/van in traf, init ",R, 
D,V239XXA,"Unsp mtrcy rider inj pick-up truck, pk-up/van in traf, init ",R, 
D,V240XXA,"Mtrcy driver injured in collision w hv veh nontraf, init    ",R, 
D,V241XXA,"Mtrcy passenger injured in collision w hv veh nontraf, init ",R, 
D,V242XXA,"Unsp mtrcy rider injured in collision w hv veh nontraf, init",R, 
D,V243XXA,"Prsn brd/alit mtrcy injured in collision w hv veh, init     ",R, 
D,V244XXA,"Mtrcy driver injured in collision w hv veh in traf, init    ",R, 
D,V245XXA,"Mtrcy passenger injured in collision w hv veh in traf, init ",R, 
D,V249XXA,"Unsp mtrcy rider injured in collision w hv veh in traf, init",R, 
D,V250XXA,"Mtrcy driver injured in clsn w rail trn/veh nontraf, init   ",R, 
D,V251XXA,"Mtrcy passenger injured in clsn w rail trn/veh nontraf, init",R, 
D,V252XXA,"Unsp mtrcy rider inj in clsn w rail trn/veh nontraf, init   ",R, 
D,V253XXA,"Prsn brd/alit mtrcy injured in clsn w rail trn/veh, init    ",R, 
D,V254XXA,"Mtrcy driver injured in clsn w rail trn/veh in traf, init   ",R, 
D,V255XXA,"Mtrcy passenger injured in clsn w rail trn/veh in traf, init",R, 
D,V259XXA,"Unsp mtrcy rider inj in clsn w rail trn/veh in traf, init   ",R, 
D,V260XXA,"Mtrcy driver injured in clsn w nonmtr vehicle nontraf, init ",R, 
D,V261XXA,"Mtrcy pasngr injured in clsn w nonmtr vehicle nontraf, init ",R, 
D,V262XXA,"Unsp mtrcy rider inj in clsn w nonmtr vehicle nontraf, init ",R, 
D,V263XXA,"Prsn brd/alit mtrcy injured in clsn w nonmtr vehicle, init  ",R, 
D,V264XXA,"Mtrcy driver injured in clsn w nonmtr vehicle in traf, init ",R, 
D,V265XXA,"Mtrcy pasngr injured in clsn w nonmtr vehicle in traf, init ",R, 
D,V269XXA,"Unsp mtrcy rider inj in clsn w nonmtr vehicle in traf, init ",R, 
D,V270XXA,"Mtrcy driver injured in clsn w statnry object nontraf, init ",R, 
D,V271XXA,"Mtrcy pasngr injured in clsn w statnry object nontraf, init ",R, 
D,V272XXA,"Unsp mtrcy rider inj in clsn w statnry object nontraf, init ",R, 
D,V273XXA,"Prsn brd/alit mtrcy injured in clsn w statnry object, init  ",R, 
D,V274XXA,"Mtrcy driver injured in clsn w statnry object in traf, init ",R, 
D,V275XXA,"Mtrcy pasngr injured in clsn w statnry object in traf, init ",R, 
D,V279XXA,"Unsp mtrcy rider inj in clsn w statnry object in traf, init ",R, 
D,V280XXA,"Mtrcy driver injured in nonclsn trnsp accident nontraf, init",R, 
D,V281XXA,"Mtrcy pasngr injured in nonclsn trnsp accident nontraf, init",R, 
D,V282XXA,"Unsp mtrcy rider injured in nonclsn trnsp acc nontraf, init ",R, 
D,V283XXA,"Prsn brd/alit mtrcy injured in nonclsn trnsp accident, init ",R, 
D,V284XXA,"Mtrcy driver injured in nonclsn trnsp accident in traf, init",R, 
D,V285XXA,"Mtrcy pasngr injured in nonclsn trnsp accident in traf, init",R, 
D,V289XXA,"Unsp mtrcy rider injured in nonclsn trnsp acc in traf, init ",R, 
D,V2900XA,"Mtrcy driver injured in collision w unsp mv nontraf, init   ",R, 
D,V2909XA,"Mtrcy driver injured in collision w oth mv nontraf, init    ",R, 
D,V2910XA,"Mtrcy passenger injured in collision w unsp mv nontraf, init",R, 
D,V2919XA,"Mtrcy passenger injured in collision w oth mv nontraf, init ",R, 
D,V2920XA,"Unsp mtrcy rider injured in clsn w unsp mv nontraf, init    ",R, 
D,V2929XA,"Unsp mtrcy rider injured in collision w oth mv nontraf, init",R, 
D,V293XXA,"Motorcycle rider (driver) injured in unsp nontraf, init     ",R, 
D,V2940XA,"Mtrcy driver injured in collision w unsp mv in traf, init   ",R, 
D,V2949XA,"Mtrcy driver injured in collision w oth mv in traf, init    ",R, 
D,V2950XA,"Mtrcy passenger injured in collision w unsp mv in traf, init",R, 
D,V2959XA,"Mtrcy passenger injured in collision w oth mv in traf, init ",R, 
D,V2960XA,"Unsp mtrcy rider injured in clsn w unsp mv in traf, init    ",R, 
D,V2969XA,"Unsp mtrcy rider injured in collision w oth mv in traf, init",R, 
D,V2981XA,"Mtrcy rider injured in trnsp acc w military vehicle, init   ",R, 
D,V2988XA,"Mtrcy rider (driver) injured in oth transport acc, init     ",R, 
D,V299XXA,"Motorcycle rider (driver) injured in unsp traf, init        ",R, 
D,V300XXA,"Driver of 3-whl mv injured in clsn w ped/anml nontraf, init ",R, 
D,V301XXA,"Pasngr in 3-whl mv injured in clsn w ped/anml nontraf, init ",R, 
D,V302XXA,"Person outside 3-whl mv inj in clsn w ped/anml nontraf, init",R, 
D,V303XXA,"Occup of 3-whl mv injured in clsn w ped/anml nontraf, init  ",R, 
D,V304XXA,"Prsn brd/alit a 3-whl mv injured in clsn w ped/anml, init   ",R, 
D,V305XXA,"Driver of 3-whl mv injured in clsn w ped/anml in traf, init ",R, 
D,V306XXA,"Pasngr in 3-whl mv injured in clsn w ped/anml in traf, init ",R, 
D,V307XXA,"Person outside 3-whl mv inj in clsn w ped/anml in traf, init",R, 
D,V309XXA,"Occup of 3-whl mv injured in clsn w ped/anml in traf, init  ",R, 
D,V310XXA,"Driver of 3-whl mv injured in clsn w pedl cyc nontraf, init ",R, 
D,V311XXA,"Pasngr in 3-whl mv injured in clsn w pedl cyc nontraf, init ",R, 
D,V312XXA,"Person outside 3-whl mv inj in clsn w pedl cyc nontraf, init",R, 
D,V313XXA,"Occup of 3-whl mv injured in clsn w pedl cyc nontraf, init  ",R, 
D,V314XXA,"Prsn brd/alit a 3-whl mv injured in clsn w pedl cyc, init   ",R, 
D,V315XXA,"Driver of 3-whl mv injured in clsn w pedl cyc in traf, init ",R, 
D,V316XXA,"Pasngr in 3-whl mv injured in clsn w pedl cyc in traf, init ",R, 
D,V317XXA,"Person outside 3-whl mv inj in clsn w pedl cyc in traf, init",R, 
D,V319XXA,"Occup of 3-whl mv injured in clsn w pedl cyc in traf, init  ",R, 
D,V320XXA,"Driver of 3-whl mv inj in clsn w 2/3-whl mv nontraf, init   ",R, 
D,V321XXA,"Pasngr in 3-whl mv inj in clsn w 2/3-whl mv nontraf, init   ",R, 
D,V322XXA,"Person outsd 3-whl mv inj in clsn w 2/3-whl mv nontraf, init",R, 
D,V323XXA,"Occup of 3-whl mv injured in clsn w 2/3-whl mv nontraf, init",R, 
D,V324XXA,"Prsn brd/alit a 3-whl mv injured in clsn w 2/3-whl mv, init ",R, 
D,V325XXA,"Driver of 3-whl mv inj in clsn w 2/3-whl mv in traf, init   ",R, 
D,V326XXA,"Pasngr in 3-whl mv inj in clsn w 2/3-whl mv in traf, init   ",R, 
D,V327XXA,"Person outsd 3-whl mv inj in clsn w 2/3-whl mv in traf, init",R, 
D,V329XXA,"Occup of 3-whl mv injured in clsn w 2/3-whl mv in traf, init",R, 
D,V330XXA,"Driver of 3-whl mv inj pk-up truck, pk-up/van nontraf, init ",R, 
D,V331XXA,"Pasngr in 3-whl mv inj pk-up truck, pk-up/van nontraf, init ",R, 
D,V332XXA,"Prsn outsd 3-whl mv inj pk-up truck, pk-up/van nontraf, init",R, 
D,V333XXA,"Occup of 3-whl mv inj pick-up truck, pk-up/van nontraf, init",R, 
D,V334XXA,"Prsn brd/alit a 3-whl mv inj pick-up truck, pk-up/van, init ",R, 
D,V335XXA,"Driver of 3-whl mv inj pk-up truck, pk-up/van in traf, init ",R, 
D,V336XXA,"Pasngr in 3-whl mv inj pk-up truck, pk-up/van in traf, init ",R, 
D,V337XXA,"Prsn outsd 3-whl mv inj pk-up truck, pk-up/van in traf, init",R, 
D,V339XXA,"Occup of 3-whl mv inj pick-up truck, pk-up/van in traf, init",R, 
D,V340XXA,"Driver of 3-whl mv injured in clsn w hv veh nontraf, init   ",R, 
D,V341XXA,"Passenger in 3-whl mv injured in clsn w hv veh nontraf, init",R, 
D,V342XXA,"Person outside 3-whl mv inj in clsn w hv veh nontraf, init  ",R, 
D,V343XXA,"Occup of 3-whl mv injured in clsn w hv veh nontraf, init    ",R, 
D,V344XXA,"Prsn brd/alit a 3-whl mv injured in collision w hv veh, init",R, 
D,V345XXA,"Driver of 3-whl mv injured in clsn w hv veh in traf, init   ",R, 
