Category,Cpt4 Code,Practice Code,Description.,NDC#/Comments,CVX Code,Rev Code,TOS,Units,MOd1,Mod2,Mod3,Department,Status,POE
"BSC","68110","68110B","Excision of lesion, conjunctiva; up to 1 cm","","","0490","","1","","","","","Active",""
"BSC","68115","68115B","Excision of lesion, conjunctiva; over 1 cm","","","0490","02","1","","","","","Active",""
"BSC","68440","68440B","Snip incision of lacrimal punctum","","","","20","1","","","","Other","Active",""
"BSC","68801","68801B","Dilation of Lacrimal Punctum with or without irrigation","","","","","1","","","","","Active",""
"BSC","68811","68811","Probing of nasolacrimal duct, with or without irrigation; requiring general anesthesia","","","0490","02","1","","","","","Inactive",""
"BSC","68811","68811B","Probing of nasolacrimal duct, with or without irrigation; requiring general anesthesia","","","0490","02","1","","","","","Active",""
"BSC","68815","68815B","Probing of nasolacrimal duct, with or without irrigation; with insertion of tube or stent","","","0490","02","1","","","","","Active",""
"BSC","68816","68816B","Probing of nasolacrimal duct, with or without irrigation","","","0490","02","1","","","","","Active",""
"BSC","68899","68899B","Unlisted procedure, lacrimal system","","","0490","02","1","","","","","Active",""
"BSC","92018","92018B","Ophthalmological examination and evaluation, under general anesthesia, with or without manipulation of globe for passive range of motion or other manipulation to facilitate diagnostic examination; complete","","","0490","02","1","","","","","Active",""
"BSC","A4649","A4649B","Surgical supply; miscellaneous","","","0278","02","1","","","","Other","Active",""
"BSC","C1783","C1783B","Ocular implant, aqueous drainage assist device","","","0278","02","1","","","","","Active",""
"BSC","cle","cle","Clear Lens Exchange","","","","","1","","","","Cataract Custom Upgrade","Active",""
"BSC","G8907","G8907B","Patient documented not to have experienced any of the following events: a burn prior to discharge; a fall within the facility; wrong site/side/patient/procedure/implant event; or a hospital transfer or hospital admission upon discharge from the facility","","","0490","02","1","","","","","Active",""
"BSC","G8908","G8908B","Patient documented to have received a burn prior to discharge","","","0490","02","1","","","","","Active",""
"BSC","G8909","G8909B","Patient documented not to have received a burn prior to discharge","","","0490","02","1","","","","","Active",""
"BSC","G8910","G8910B","Patient documented to have experienced a fall within ASC","","","0490","02","1","","","","","Active",""
"BSC","G8911","G8911B","Patient documented not to have experienced a fall within Ambulatory Surgical Center","","","0490","02","1","","","","","Active",""
"BSC","G8912","G8912B","Patient documented to have experienced a wrong site, wrong side, wrong patient, wrong procedure or w","","","0490","02","1","","","","","Active",""
"BSC","G8913","G8913B","Pt  NOT to have experienced a wrong site, wrong side, wrong patient, wrong procedure or wrong implant event.","","","0490","02","1","","","","","Active",""
"BSC","G8914","G8914B","Pt documented to have experienced a hospital transfer or hospital admission upon discharge from ASC","","","0490","02","1","","","","","Active",""
"BSC","G8915","G8915B","Patient documented not to have experienced a hospital transfer or hospital admission upon discharge from ASC","","","0490","02","1","","","","","Active",""
"BSC","G8916","G8916B","Patient with preoperative order for IV antibiotic surgical site infection (SSI ) prophylaxis, antibiotic initiated on time","","","0490","02","1","","","","","Active",""
"BSC","G8917","G8917B","Patient with preoperative order for IV antibiotic surgical site infection (SSI ) prophylaxis, antibiotic not initiated on time","","","0490","02","1","","","","","Active",""
"BSC","G8918","G8918B","Patient without preoperative order for IV antibiotic surgical site infection ( SSI ) prophylaxis","","","0490","02","1","","","","","Active",""
"BSC","G8919","G8919B","MST RCNT SYS BP &lt;140MMG","","02","0490","","1","","","","","Active",""
"BSC","J7315","J7315B","Mitomycin, opthalmic, 0. 2 mg","","","0278","02","1","","","","","Active",""
"BSC","J9280","J9280B","Injection, mitomycin, 5 mg","","","0278","02","1","","","","","Active",""
"BSC","L8612","L8612B","Aqueous shunt","","","0278","02","1","","","","","Active",""
"BSC","L8699","L8699B","Prosthetic implant, not otherwise specified 
Prosthetic implant","Prosthetic implant, not otherwise specified 
Prosthetic implant","","0278","02","1","","","","Cataract Surgery","Active",""
"BSC","LIFE","LIFEB","LIFESTYLE LENS","","","","","1","","","","Cataract Custom Upgrade","Active",""
"BSC","Med Con Surgery Cancelled After Admission","Med Con","Med Con Surgery Cancelled After Admission","","","","","1","","","","Other","Active",""
"BSC","Multi","Multi","MultiFocal Lens","","","","","1","","","","Cataract Custom Upgrade","Active",""
"BSC","P-Del","P-Del","Delete Procedure","","","","","1","","","","Other","Active",""
"BSC","PREPY","PREPYB","PT PREPAYMENT","","","","","1","","","","Cataract Custom Upgrade","Active",""
"BSC","s0596","s0596B","Phakic intraocular lens for correction of refractive error","","","0490","02","1","","","","","Active",""
"BSC","Toric","Toric","Toric Lens","","","","","1","","","","Cataract Custom Upgrade","Active",""
"BSC","transport","transport","Transportation fee","","","","","1","","","","Other","Active",""
"BSC","V2520","V2520B","Contact lens, hydrophilic, spherical, per lens","","","0278","","1","","","","","Active",""
"BSC","v2630","V2630B","Anterior Chamber intraocular lens","","","0278","","1","","","","Cataract Surgery","Active",""
"BSC","V2632","V2632B","Posterior chamber intraocular lens","Posterior chamber intraocular lens","","0278","02","1","","","","Cataract Surgery","Active",""
"BSC","V2632","V2632B","Posterior Chamber","Posterior chamber intraocular lens","","0278","02","1","","","","Cataract Surgery","Active",""
"BSC","V2787","V2787B","Astigmatism correcting function of intraocular lens","","","0278","02","1","","","","Cataract Surgery","Active",""
"BSC","V2787","V2787B","Astigmatism Correcting","","","0278","02","1","","","","Cataract Surgery","Active",""
"BSC","V2788","V2788B","Presbyopia correcting function of intraocular lens","","","0278","","1","","","","Cataract Surgery","Active",""
"BSC","V2790","V2790B","Amniotic membrane for surgical reconstruction, per procedure","","","0278","02","1","","","","Cataract Surgery","Active",""
"BSC","Wavetec","Wavetec","Wavetec","","","","","1","","","","Cataract Custom Upgrade","Active",""
